seed,clearance_mean,clearance_std,sp_mean,sp_std,p_rated_mean,p_rated_std,Nwt_mean,Nwt_std,wind_MW_per_km2_mean,wind_MW_per_km2_std,solar_MW_mean,solar_MW_std,surface_tilt_mean,surface_tilt_std,surface_azimuth_mean,surface_azimuth_std
0,99.12885477499556,17.064240696693915,289.53120210049633,10.060528990579911,13.304502488029618,2.989783458438447,39.015547287152096,8.51957861010132,3.7243776551449805,1.305737697689245,39.3079161971976,12.761500265314245,34.97218038350117,20.925387158107775,198.25776622881492,13.468745528259978
1,115.97059756884008,7.660243355165936,340.9595591050594,22.594794258451174,10.960823089613253,1.5936224687438372,46.81355161440308,4.2782854949637255,7.512868298108145,2.104900905829551,30.989213578429865,2.3510417788673768,53.547730152064766,31.444353741888307,195.45112715161738,18.507492900721527
2,106.61696059822127,19.936634760240143,327.5185546210882,25.51098318627327,12.752468476977086,3.6733676548223877,45.518037573237685,5.540661137506969,4.097263528731434,2.4867388549084537,43.673690242530085,20.489408998950356,51.015499741506666,31.998761553369068,205.00177622802977,6.786678128082172
3,105.52886006412328,15.227405731628139,331.4975598976692,18.904971417618476,10.497052456728241,2.2267762525963066,42.646979390818586,7.733563870270317,3.706515405326215,1.4241931480815035,30.0,0.0,27.54211394489986,27.24357604590692,208.0672848567255,2.6173314563911707
4,97.70121365392308,32.42112098463202,350.4942358607732,18.923562591483286,13.798325412228621,3.2938328637224,44.458524102998226,6.223715742031916,5.580088717612972,2.4633442012624736,33.36707649891639,5.542048911216999,48.2017989832734,25.505154973992997,168.39546354772892,15.239302230077941
5,91.99368893917995,18.747758639076736,327.25355268661195,22.34309986998482,13.357531932493453,3.2460644105092413,50.0,0.0,5.0258948529969185,1.6624671510986857,40.94268721265875,16.140272238504867,3.626395217718857,7.516076321718147,190.02766983998615,12.09557731289252
6,70.32175153335643,36.87140095273878,328.12861782317145,45.9345874554654,15.241242847340398,2.5466476099225592,42.627087589599654,7.445955310802893,4.172775440981248,3.2509583169613756,143.32600822535153,29.93970809589216,46.10797206467313,31.403205998546078,189.6975726825687,18.116764836739772
7,110.3525979754454,15.799147496094143,339.9487343619086,15.466726565183619,14.114710077436976,3.1944230302720236,42.770728280557925,9.114962757444768,5.155666253402427,2.9589255583066896,31.76917244637476,5.562917245564874,61.039673218957354,33.40956488601996,199.74240745832313,14.627287948297726
8,106.79543771546136,9.298958382986,360.0,0.0,10.063319866258729,0.8790811662744688,46.52929349354668,4.072612385857617,4.839945688889133,0.7353052350507239,30.206250835076,0.652222408151898,1.2209480030101716,3.41175624944404,206.09361750081575,4.050426728060397
9,102.50516676688733,27.018376791916033,324.5657434948409,25.84783723380611,13.526679457145661,2.063752975554353,43.088590163017656,5.192975783492132,3.1964136375340773,1.3359644378033941,31.83752484870096,3.9015693576839263,28.388107475031756,25.500830837705635,202.6141912364015,5.348820496768026
Total,100.6915129590434,24.124799622502078,331.9897759951619,28.65914657985906,12.761665610425203,3.043057429715464,44.346833949533156,6.700769433865439,4.701180947872754,2.3399738732719024,45.54195400852359,35.504497603486634,35.56624191846372,31.455206779749865,196.33488767310118,16.256401845484476
