annual_carbon_offset,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h
-398908.4232653283,-3.0235564183061565,32.59109411334117,247.29216724122952,8.44925487357124,42.903684458307495,3.057466931738593,162.6284283090163,45.28957468204942,176.08717937602168,156.6456053560355,14.918733583064991
-423325.8784910486,-2.5826812473754246,16.46832722596929,239.68436228279626,11.44925487357124,38.11268097667368,4.8574669317385935,180.60680572116667,31.44772902519751,169.2113919748306,130.20765831961316,22.11873358306499
-467918.35283589724,-1.7313961754226144,32.317183286304854,253.74099742885147,13.520176753855006,49.07420312141089,6.5295654816527575,174.96767173790641,29.116957312509705,186.17876396681558,182.45556391703042,26.65552531281366
-385678.57314307324,-3.362591149933593,44.98701666541946,271.4664479836885,8.781095116646668,50.0,4.066462421006031,145.80583710374464,45.551674569106744,189.02166817017257,80.02626113495208,4.0
-349206.2292688301,-4.051387827719087,52.590459890031575,310.34717961012655,7.167774709939074,50.0,4.346788111056785,142.42953809791763,42.25128779618252,188.56756183177382,46.069693747643356,4.0
-361423.7397061111,-3.8641450774852015,45.389917880214945,303.4664479836885,7.852280761346386,50.0,4.515068925462285,152.71824087354318,42.60772186517913,193.80727513491937,44.02626113495208,4.0
-387130.0784811383,-3.11529249915896,49.80876348798374,298.72158714236144,10.079096923508187,43.964296844978115,5.428697722352985,112.86356942710307,44.7883585376362,190.0785308595641,119.75826434466393,11.656327657320507
-454781.98482942494,-1.9838728075248784,37.60321836907579,227.14463922856385,14.21007971900405,38.07210785636201,3.1037321609115294,158.13331001960378,44.560190527967535,177.3140003081056,171.6772895986685,19.1912906076166
-364083.8075081174,-3.7020068937433677,59.82812814745522,319.2975048489281,8.140984717951904,49.969987310785136,4.730220661758267,163.8285279290607,45.440418251678956,170.33630108315245,30.277302139551214,8.968514072074912
-354118.9981375452,-3.910445622646759,54.186037731973094,298.2820413719648,7.398350441148575,48.03843512735807,5.039444595268218,145.3918222056518,40.37846322256319,176.85473731726339,66.27730213955121,5.408440802747643
-474616.49831022206,-1.6594839995342132,29.855974020936223,241.62842029304178,13.63360073091727,45.72833024190674,5.154850274461478,175.30391405259317,42.28327937235588,183.39250831673758,194.1721263895819,31.351968850003846
-376974.4357159035,-3.4042432537208587,58.902270035621754,298.7253998881963,8.980685598036798,50.0,4.265321687131476,130.5301515661646,35.30499696973477,192.17472838932625,62.74895973719966,4.065901921339887
-381529.7855367836,-3.3874189583363785,52.43221906409363,293.34806076694053,9.004843520202092,50.0,3.6388739669853227,148.03694316166283,48.792386792716485,188.86031005121174,57.6478114203755,4.0
-451210.21433528303,-2.1523922552106116,27.143051455725846,247.26240457559967,11.113217417958234,48.821619962653706,4.375369154588411,168.16938643806486,26.77623593589619,178.84517372500693,167.347473894323,24.894619815523757
-370513.9637236205,-3.6963939993853576,52.583931101147066,283.5125127051392,7.920009487070296,50.0,5.438873966985323,157.56212565231584,54.78654527862777,193.75470777154078,62.92625550004993,4.046033780743631
-344323.66864238936,-4.116278432618381,50.33045847733967,313.3450757996663,6.888366490486891,50.0,4.008554997879206,151.1893086728068,35.016344527831095,180.54405223766753,38.61867362013838,4.557180713214006
-404690.53986888914,-2.86450162892094,43.62857892691967,244.83153488049123,11.231241081410047,37.98199581223156,5.503608868138973,140.41858861641057,30.545280129450934,175.51287545168503,90.57104364189667,17.579925945168352
-326432.7394198206,-4.2986965851195755,42.11670109309189,316.95859665258877,6.660809465845165,50.0,4.998056595313587,117.11970378690813,31.577336559646362,178.7146944634126,20.0,4.0
-489804.1924507628,-1.219318323434304,38.26985568065695,241.5219827993414,15.867497907449675,49.149204182413676,5.206551318520732,178.29121691240192,28.150657883816237,187.64552959195896,188.43829334379038,36.387301637028784
-364063.0065058365,-3.735501116315376,48.56281101392865,294.91835987134783,8.043673176837448,50.0,3.4818718383471365,132.238286152533,40.27563212341326,181.06184188624124,31.049466989129304,4.026535852960454
-455603.16902639694,-1.9827765283407748,40.601959866797436,259.3547032729632,11.856443639514069,45.32794637511886,5.383513486500793,184.16458236010354,26.62968465844337,195.53138017319546,168.17008560786198,33.66741940040248
-371921.1475374533,-3.612253024885788,48.54237339319474,287.4154811920802,8.214157238717759,50.0,3.778998098432417,134.820057607633,48.97760961091764,187.55225818631897,67.0494669891293,4.0
-427245.7837771445,-2.4976746922129767,50.693197756752504,258.93757230349695,11.881799193654427,38.60068804490995,4.567278035427425,166.7373282331704,28.642373302622023,184.13424845654168,151.40033931110762,20.403104175343213
-347155.51891176926,-4.079191661917411,45.31748253727831,312.02481781278976,7.229778498520439,50.0,4.347087527602646,146.07602177169508,35.69992391231243,184.15250665800673,34.31326045614709,4.0
-354053.5718940184,-3.9496661229156604,44.193890873764616,287.2393880598628,7.153429525856182,50.0,4.280081947574003,125.34027577524513,30.97760961091764,191.08800345910828,76.03715530078205,4.0
-318553.24835604965,-4.3520084609118435,40.689896076992,315.41704120917757,6.134311270563624,50.0,4.957707816131092,131.31350805729417,34.48364856373162,184.06064234012706,21.214487856533363,4.053684084769248
-464722.79392197746,-1.7712158400896545,26.18465537450042,242.09190591723865,14.366050559650178,37.76351341392834,4.096845430022677,175.39393798976081,26.158464311133272,183.5940291996028,174.1641845602503,36.218354839921
-448088.531514134,-2.241474728387282,40.0911272813122,244.32922431426908,10.212784811008458,47.73783190517875,4.555314844800103,177.23007873339418,31.707736016076762,189.82693820448839,177.92268267237003,25.56324073296239
-467214.8790608084,-1.76546033728839,35.8842476264608,256.72885804364176,12.284737990583366,48.701682152775675,5.651000031917209,174.1452903799426,31.16320498338365,187.1378953500077,186.8172030793618,34.51134790707802
-391951.72739711386,-3.06746286134092,40.17482772167776,281.0159428791438,8.76234895333689,50.0,4.637477698517239,100.75162120287811,28.686719776206456,194.22896138614274,112.13818847894359,16.70032485776345
-327268.61998395575,-4.298422928539585,40.854508837882555,331.04965443436305,6.479294740551049,50.0,3.7876094423582605,149.97043307339365,33.78250532567301,183.13383925517394,26.489760561100738,4.061188163634059
-487075.07696381205,-1.3082691104868562,31.53370872412334,243.19880245754877,15.640079519381302,46.88271030765503,5.491812316304636,180.03690612427224,27.806057337836897,185.54022802695172,194.10713786126544,36.82939008844564
-474806.1862093144,-1.5933426158387078,33.505286456864724,242.49139034468922,13.947472387502483,45.3173660151367,5.438797924844118,179.56990385534036,35.314325160768576,171.78802204844885,185.92176153453602,34.34039594427202
-486639.6440338348,-1.3126702860114616,38.18163215455726,252.72110755709198,15.1545763932275,49.20776036263631,4.729965125270649,174.37039652967192,33.03826429360405,187.71967666747324,189.3631881808082,38.7673876426169
-353976.08257218584,-3.988888599418904,41.69920682673965,305.20831666667056,7.195982096332507,50.0,3.8600593268686203,155.89758016871414,49.46117384333127,192.68780782065633,74.08108903495307,4.0
-482635.5023683483,-1.4293443713443108,39.00703552222165,248.4067771226068,14.790396832540937,49.32058294883541,5.335342748387333,179.92415874978218,31.41157267176895,187.95980397933826,189.25748909492663,31.920535225097517
-321497.3064733165,-4.346980795977461,39.090198913075234,321.81585779838446,6.284661197141617,50.0,4.8401631060495,135.32624917563783,34.26551218027814,188.75749833589134,29.33177004402025,4.056601568145983
-460921.01958907256,-1.9137305582631168,31.134453587755424,234.28947326789475,10.938119429110014,48.499787548174396,5.378433242151576,177.17849287380977,26.981754481430315,189.2072977910315,164.65046466566616,36.526566474335404
-481803.96022951143,-1.4463109387196105,36.80790838457218,241.20379234610493,14.130318344644289,49.20197127210724,5.624789272823686,177.0195788361447,25.39725319787624,187.6653454142563,186.69984288170332,35.25144125609424
-449286.74373255234,-2.15905311471148,34.11361828744216,253.47587380449662,11.056043151406904,47.418454492147575,6.218873822545035,183.68409414195486,24.21512594465379,189.0859601895649,177.97526260040758,25.979032051774247
-410587.0184402796,-2.695049418807655,46.04072096493496,287.0142596883147,10.541173091007888,50.0,5.019206706213619,122.11012672238444,21.078963476407484,182.55161736306826,134.89472996168465,11.781118081972924
-434578.5465226642,-2.324370760154951,44.021987891142935,306.8630297286907,12.412610145364972,47.82404139894648,6.408464395241818,177.304909815313,29.924948305366684,189.93487924311867,161.07662956655247,18.617672784489745
-464722.66226134903,-1.9054209573412286,34.12260038874628,246.0174435052443,11.648907246524304,48.960496458256145,3.9948330578648052,167.24085804451383,30.434801177067463,179.12391077896035,192.62967671278506,28.183678489952836
-337517.80657172494,-4.206820744228544,44.65857377451279,319.98954053477047,7.026942841674686,49.55621826491827,3.9346110181450653,128.9591727035269,34.03133339042925,190.74340051700426,25.228276391634914,4.0
-319360.41649879643,-4.34941096076251,43.13851602770488,332.92662810772896,6.268260934545365,50.0,4.848973634767492,140.78010172015638,38.21454447114572,185.84865201039656,27.36696059354132,4.069669948970049
-341449.01052705594,-4.203062205193843,36.94881338525991,284.6397244179733,6.5913259290715445,50.0,4.035058351637751,140.3548130689793,45.65383856300694,183.4727094361588,21.167827047346222,4.0
-427122.42037978605,-2.5471089201925086,47.16352104830881,274.8630297286907,9.428365821358499,48.3879863180959,4.6084643952418185,191.11487377493503,28.96452438838393,185.02838755134619,145.54803981463832,25.817672784489744
-475453.6154136495,-1.586088398128421,20.383234418617242,251.8633586316507,14.517515861441492,44.226433729556454,5.956521606731345,183.68749057212474,31.484688724690898,190.08792618101583,187.0395599892454,36.405224288095674
-477430.394368405,-1.5105582000007811,34.87712090780876,239.55021172343444,15.198276998751592,41.42102877742014,5.73357707216509,182.17932447238724,25.620198254482556,187.0697622770582,187.48205161580142,36.583459426746956
-483558.00600350683,-1.3758280179434976,34.731013006712196,242.26287612137062,15.674884084053183,43.716053892749116,4.44748591716352,180.22885044544273,33.89428172218852,185.49251675294042,180.77459803789577,39.479756199974595
-326178.0982975524,-4.3219743250333,29.94853842279022,313.34290466326877,6.428723142388406,50.0,3.8295391384224886,130.60854494151923,34.25206990259305,193.12287629125836,31.335921805584057,4.0
-337290.8907009209,-4.239292806245006,38.13955979687326,322.0348735813755,6.777889999224702,50.0,4.073511249870703,159.3461789092505,34.21025698137741,188.87870134165874,32.710564761420244,4.031272559510864
-481108.94658778835,-1.4851940537222645,39.709909463910805,245.4261587409584,14.152836817848076,48.635419884552775,5.256065109639592,179.49638938212075,31.21023061120996,187.14021332988932,189.26524580446164,33.89638562739523
-375497.5725267689,-3.481246340317152,53.46816798960147,294.8486963997518,8.808107968727438,50.0,4.1731594760036455,136.15695740194272,29.82877885982439,188.42013442611818,48.66256269091181,4.0
