time,Measurement,DA,HA,RT,5%_fc,10%_fc,15%_fc,20%_fc,25%_fc,30%_fc,35%_fc,40%_fc,45%_fc,50%_fc,55%_fc,60%_fc,65%_fc,70%_fc,75%_fc,80%_fc,85%_fc,90%_fc,95%_fc
1/1/2022 4:30,0.1998,0.37405,0.172724496,0.1951,0.041478765,0.064180156,0.077855786,0.091233985,0.110186068,0.125864184,0.137886927,0.14630173,0.159787814,0.172724496,0.19099881,0.207977953,0.221648098,0.233273986,0.250119024,0.272859745,0.298483239,0.335770021,0.434179589
1/1/2022 4:45,0.1714,0.380625,0.150318748,0.1998,0.028944113,0.051927357,0.0647566,0.074902613,0.091561608,0.106082527,0.11796098,0.125332442,0.138702205,0.150318748,0.170203234,0.185976399,0.201127686,0.215579334,0.23320319,0.256611232,0.284400528,0.326062539,0.423471499
1/1/2022 5:00,0.1465,0.3872,0.127913,0.1714,0.016409461,0.039674557,0.051657415,0.05857124,0.072937148,0.086300869,0.098035033,0.104363154,0.117616597,0.127913,0.149407659,0.163974845,0.180607274,0.197884683,0.216287356,0.24036272,0.270317817,0.316355057,0.412763409
1/1/2022 5:15,0.1397,0.383075,0.12187845,0.1465,0.012451348,0.033492029,0.044991801,0.052933225,0.06772792,0.07996485,0.090167339,0.097595773,0.109996616,0.12187845,0.141769667,0.156524939,0.17266894,0.188428985,0.207384825,0.232985577,0.264262507,0.308111363,0.406755451
1/1/2022 5:30,0.2023,0.37895,0.115843899,0.1397,0.008493235,0.0273095,0.038326187,0.047295209,0.062518692,0.073628832,0.082299645,0.090828393,0.102376636,0.115843899,0.134131675,0.149075034,0.164730606,0.178973288,0.198482295,0.225608435,0.258207198,0.299867669,0.400747493
1/1/2022 5:45,0.2418,0.374825,0.109809348,0.2023,0.004535122,0.021126972,0.031660573,0.041657194,0.057309464,0.067292813,0.074431951,0.084061012,0.094756655,0.109809348,0.126493683,0.141625128,0.156792272,0.16951759,0.189579764,0.218231292,0.252151889,0.291623975,0.394739534
1/1/2022 6:00,0.2334,0.3707,0.103774797,0.2418,0.000577009,0.014944443,0.024994959,0.036019178,0.052100236,0.060956795,0.066564257,0.077293631,0.087136674,0.103774797,0.118855691,0.134175223,0.148853938,0.160061893,0.180677233,0.21085415,0.24609658,0.283380281,0.388731576
1/1/2022 6:15,0.2093,0.357975,0.09088431,0.2334,0.000432757,0.011208333,0.018750363,0.028203082,0.04124682,0.050513828,0.056432294,0.066276857,0.076421881,0.09088431,0.103918147,0.117737613,0.130226838,0.141624199,0.163443717,0.192588484,0.229311415,0.271429725,0.382833199
1/1/2022 6:30,0.19,0.34525,0.077993823,0.2093,0.000288505,0.007472222,0.012505766,0.020386986,0.030393404,0.040070861,0.046300331,0.055260083,0.065707088,0.077993823,0.088980603,0.101300003,0.111599737,0.123186504,0.146210201,0.174322819,0.212526251,0.259479168,0.376934823
1/1/2022 6:45,0.1708,0.332525,0.065103335,0.19,0.000144252,0.003736111,0.00626117,0.012570889,0.019539987,0.029627895,0.036168369,0.044243308,0.054992295,0.065103335,0.07404306,0.084862393,0.092972637,0.10474881,0.128976685,0.156057153,0.195741087,0.247528612,0.371036446
1/1/2022 7:00,0.1933,0.3198,0.052212848,0.1708,0,0,1.66E-05,0.004754793,0.008686571,0.019184928,0.026036406,0.033226534,0.044277502,0.052212848,0.059105516,0.068424783,0.074345537,0.086311116,0.111743169,0.137791488,0.178955922,0.235578055,0.365138069
1/1/2022 7:15,0.1729,0.31255,0.043947644,0.1933,0,0,1.24E-05,0.003566095,0.006514928,0.014388696,0.019527305,0.025276144,0.035910402,0.043947644,0.04999205,0.059361132,0.067141267,0.081672852,0.107221837,0.13328923,0.175506127,0.231957778,0.361715668
1/1/2022 7:30,0.1654,0.3053,0.035682441,0.1729,0,0,8.29E-06,0.002377397,0.004343286,0.009592464,0.013018203,0.017325755,0.027543302,0.035682441,0.040878584,0.050297481,0.059936996,0.077034589,0.102700504,0.128786973,0.172056331,0.228337501,0.358293267
1/1/2022 7:45,0.1262,0.29805,0.027417237,0.1654,0,0,4.14E-06,0.001188698,0.002171643,0.004796232,0.006509102,0.009375366,0.019176202,0.027417237,0.031765117,0.04123383,0.052732725,0.072396326,0.098179172,0.124284715,0.168606536,0.224717224,0.354870866
