time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
01/02/2021 00.15,0,0,0,0,0,0,0,0
01/02/2021 00.30,0,0,0,0,0,0,0,0
01/02/2021 00.45,0,0,0,0,0,0,0,0
01/02/2021 01.00,0,0,0,0,0,0,0,0
01/02/2021 01.15,0,0,0,0,0,0,0,0
01/02/2021 01.30,0,0,0,0,0,0,0,0
01/02/2021 01.45,0,0,0,0,0,0,0,0
01/02/2021 02.00,0,0,0,0,0,0,0,0
01/02/2021 02.15,0,0,0,0,0,0,0,0
01/02/2021 02.30,0,0,0,0,0,0,0,0
01/02/2021 02.45,0,0,0,0,0,0,0,0
01/02/2021 03.00,0,0,0,0,0,0,0,0
01/02/2021 03.15,0,0,0,0,0,0,0,0
01/02/2021 03.30,0,0,0,0,0,0,0,0
01/02/2021 03.45,0,0,0,0,0,0,0,0
01/02/2021 04.00,0,0,0,0,0,0,0,0
01/02/2021 04.15,0,0,0,0,0,0,0,0
01/02/2021 04.30,0,0,0,0,0,0,0,0
01/02/2021 04.45,0,0,0,0,0,0,0,0
01/02/2021 05.00,0,0,0,0,0,0,0,0
01/02/2021 05.15,0,0,0,0,0,0,0,0
01/02/2021 05.30,0,0,0,0,0,0,0,0
01/02/2021 05.45,0,0,0,0,0,0,0,0
01/02/2021 06.00,0,0,0,0,0,0,0,0
01/02/2021 06.15,0,0,0,0,0,0,0,0
01/02/2021 06.30,0,0,0,0,0,0,0,0
01/02/2021 06.45,0,0,0,0,0,0,0,0
01/02/2021 07.00,0,0,0,0,0,0,0,0
01/02/2021 07.15,0,0,0,0,0,0,0,0
01/02/2021 07.30,0,0,0,0,0,0,0,0
01/02/2021 07.45,0,0,0,0,0,0,0,0
01/02/2021 08.00,0,0,0,0,0,0,0,0
01/02/2021 08.15,0,0,0,0,0,0,0,0
01/02/2021 08.30,0.0041,0.012748701,0.006208566,0.000684711,0.012748701,0,0.015935876,0.009561526
01/02/2021 08.45,0.0129,0.038246102,0.018625699,0.002054132,0.038246102,0.0041,0.047807628,0.028684577
01/02/2021 09.00,0.0171625,0.058993407,0.000612818,0,0.058993407,0.0129,0.073741759,0.044245055
01/02/2021 09.15,0.0289875,0.08765754,0.033316627,0,0.08765754,0.0171625,0.109571925,0.065743155
01/02/2021 09.30,0.0408125,0.116321672,0.066020436,0.021488945,0.116321672,0.0289875,0.14540209,0.087241254
01/02/2021 09.45,0.0526375,0.144985805,0.098724244,0.053511465,0.144985805,0.0408125,0.181232256,0.108739354
01/02/2021 10.00,0.0825375,0.229039564,0.197459363,0.121038581,0.229039564,0.0526375,0.286299455,0.171779673
01/02/2021 10.15,0.0823125,0.220777279,0.186142299,0.12939137,0.220777279,0.0825375,0.275971599,0.165582959
01/02/2021 10.30,0.0820875,0.212514995,0.174825235,0.13774416,0.212514995,0.0823125,0.265643744,0.159386246
01/02/2021 10.45,0.0818625,0.20425271,0.163508171,0.146096949,0.20425271,0.0820875,0.255315888,0.153189533
01/02/2021 11.00,0.0800625,0.163013025,0.146328643,0.192460854,0.163013025,0.0818625,0.203766281,0.122259769
01/02/2021 11.15,0.0808875,0.176735674,0.138919889,0.1754729,0.176735674,0.0800625,0.220919593,0.132551756
01/02/2021 11.30,0.0817125,0.190458323,0.131511135,0.158484946,0.190458323,0.0808875,0.238072904,0.142843742
01/02/2021 11.45,0.0825375,0.204180972,0.124102381,0.141496992,0.204180972,0.0817125,0.255226215,0.153135729
01/02/2021 12.00,0.0883125,0.240913118,0.071093124,0.088563952,0.240913118,0.0825375,0.301141398,0.180684839
01/02/2021 12.15,0.0858375,0.239296102,0.094084706,0.095539388,0.239296102,0.0883125,0.299120128,0.179472077
01/02/2021 12.30,0.0833625,0.237679086,0.117076288,0.102514824,0.237679086,0.0858375,0.297098858,0.178259315
01/02/2021 12.45,0.0808875,0.23606207,0.14006787,0.10949026,0.23606207,0.0833625,0.295077588,0.177046553
01/02/2021 13.00,0.094425,0.292297393,0.247323032,0.158484998,0.292297393,0.0808875,0.365371741,0.219223045
01/02/2021 13.15,0.081275,0.252112152,0.214138893,0.137447567,0.252112152,0.094425,0.31514019,0.189084114
01/02/2021 13.30,0.068125,0.21192691,0.180954755,0.116410135,0.21192691,0.081275,0.264908638,0.158945183
01/02/2021 13.45,0.054975,0.171741669,0.147770616,0.095372704,0.171741669,0.068125,0.214677086,0.128806252
01/02/2021 14.00,0.0305,0.098008028,0.08911412,0.058821297,0.098008028,0.054975,0.122510035,0.073506021
01/02/2021 14.15,0.0249,0.080188387,0.072911553,0.048126516,0.080188387,0.0305,0.100235484,0.06014129
01/02/2021 14.30,0.0193,0.062368745,0.056708985,0.037431734,0.062368745,0.0249,0.077960931,0.046776559
01/02/2021 14.45,0.0137,0.044549104,0.040506418,0.026736953,0.044549104,0.0193,0.05568638,0.033411828
01/02/2021 15.00,0,0,0,0,0,0.0137,0,0
