0,1,type
finance.price_t_ext,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'price_t_ext'}",input
finance.hpp_t_with_deg,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': 'MW', 'prom_name': 'hpp_t_with_deg'}",input
finance.penalty_t,"{'desc': '', 'val': array([1., 1., 1., ..., 1., 1., 1.], shape=(219000,)), 'units': None, 'prom_name': 'penalty_t_with_deg'}",input
finance.CAPEX_w,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_w'}",input
finance.OPEX_w,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_w'}",input
finance.CAPEX_s,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_s'}",input
finance.OPEX_s,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_s'}",input
finance.CAPEX_b,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_b'}",input
finance.OPEX_b,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_b'}",input
finance.CAPEX_el,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'CAPEX_sh'}",input
finance.OPEX_el,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'OPEX_sh'}",input
finance.wind_WACC,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'wind_WACC'}",input
finance.solar_WACC,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'solar_WACC'}",input
finance.battery_WACC,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'battery_WACC'}",input
finance.tax_rate,"{'desc': '', 'val': array([1.]), 'units': None, 'prom_name': 'tax_rate'}",input
genericWT.hh,"{'desc': ""Turbine's hub height"", 'val': array([1.]), 'units': 'm', 'prom_name': 'hh'}",input
genericWT.d,"{'desc': ""Turbine's diameter"", 'val': array([1.]), 'units': 'm', 'prom_name': 'd'}",input
genericWT.p_rated,"{'desc': ""Turbine's rated power"", 'val': array([1.]), 'units': 'MW', 'prom_name': 'p_rated'}",input
genericWake.Nwt,"{'desc': 'Number of wind turbines', 'val': array([1]), 'units': None, 'prom_name': 'Nwt'}",input
genericWake.Awpp,"{'desc': 'Land use area of WPP', 'val': array([1.]), 'units': 'km**2', 'prom_name': 'Awpp'}",input
genericWake.d,"{'desc': ""Turbine's diameter"", 'val': array([1.]), 'units': 'm', 'prom_name': 'd'}",input
genericWake.p_rated,"{'desc': ""Turbine's rated power"", 'val': array([1.]), 'units': 'MW', 'prom_name': 'p_rated'}",input
genericWake.ws,"{'desc': ""Turbine's ws"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'm/s', 'prom_name': 'ws'}",input
genericWake.pc,"{'desc': ""Turbine's power curve"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': 'MW', 'prom_name': 'pc'}",input
genericWake.ct,"{'desc': ""Turbine's ct curve"", 'val': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.]), 'units': None, 'prom_name': 'ct'}",input
mapping.clearance,"{'desc': 'Distance from ground to blade tip', 'val': array([1.]), 'units': 'm', 'prom_name': 'clearance'}",input
