combo,clearance_mean,clearance_std,sp_mean,sp_std,p_rated_mean,p_rated_std,Nwt_mean,Nwt_std,wind_MW_per_km2_mean,wind_MW_per_km2_std,solar_MW_mean,solar_MW_std,surface_tilt_mean,surface_tilt_std,surface_azimuth_mean,surface_azimuth_std
Pc0.75_Pm0.14,102.92086107976414,2.1289011508280726,327.11408084555023,2.6020587835070996,10.163457021583458,0.5832884852077473,32.420339126227674,0.1746523434889009,4.887669701547478,0.15938398355029815,39.74033711823923,0.7542356065542356,58.04293061768283,2.9543220856643977,190.3584831679236,2.399144980503771
Pc0.75_Pm0.16,95.79339541572487,16.439421276462358,305.6764519249174,41.77710694499187,11.816353187926278,3.65713374181259,31.427725768662185,3.7686143944131083,5.351686179403707,1.428320898240521,52.41726365681484,9.54408797595443,51.55873739359157,6.688736453806527,187.28624841256232,12.432557463859835
Pc0.78_Pm0.14,97.61433143621,18.991334127287605,290.54406172083765,47.20979833057111,10.506916832798984,4.679234743585165,37.64496709162892,9.82619043746448,5.5928127136603125,2.554921208747339,94.32052876042628,48.262244089177585,50.98419950395779,16.485082627946994,184.625917618504,20.955814340860396
Pc0.78_Pm0.16,99.79345661754562,19.767768021255925,294.14069742406474,36.64215424952961,12.322028322236203,4.272082223899434,42.04886470237286,8.153340301376119,4.729397359944159,1.6816248866738697,94.75105814527043,36.18452623125626,48.77874683176186,16.0172388996272,185.0156477725697,17.392971050368462
Pc0.82_Pm0.14,102.60531325339313,4.4534530698090515,329.01578402430766,4.383905050870825,10.7289591857639,0.48760989330760157,32.63863092966132,1.3778927508271346,4.920607129751825,0.5722895325065054,30.336514426812773,0.13194080304279507,59.80317978680997,3.286277962928197,193.0177130799812,2.4294178161317053
Pc0.82_Pm0.16,98.65210052414236,18.963052184946598,295.7222220075442,48.100501974367944,11.462577842079074,4.30263529432539,39.754640952034336,11.292583704439949,5.366767501713964,2.3740440408632173,91.87755500209983,40.416255194094546,56.18364908137319,6.288658434923218,189.6236793265785,20.908873117530163
Pc0.85_Pm0.14,104.3004862606518,4.416905061051222,333.93120177430984,3.158712430004616,10.95249735828206,0.8646718677111613,32.1114141235102,1.8695845911329187,5.024096509748234,0.3758235427764076,32.501405786916614,1.2425494755548943,41.43415153737463,9.469172370807055,203.64376110861454,5.657841474870355
Pc0.85_Pm0.16,89.47810437976909,30.001733587938666,300.0901315210257,45.53060716231293,11.477910911422834,3.919545824755325,37.06823164898674,6.935276244549255,4.802181328845171,2.020413707353276,88.54963411750386,26.773632488275602,51.04854027657899,8.579551630598642,187.2339170267981,18.024015645545358
Pc0.8_Pm0.14,98.19985480070729,14.99925374765348,323.75423347605687,22.71995530124318,11.607851152550712,1.7361592287201728,33.86426877063661,5.4197107953107215,4.133109240007139,1.1199498153728478,30.442860330288546,0.3520100946366198,56.22720166326002,17.137997711234945,192.27577806152965,6.556011026173216
Pc0.8_Pm0.16,93.30550004812366,17.1421629735781,285.03482868327706,52.04904531172747,12.125610002129829,3.8558290250094744,34.315023215626816,9.274046464807343,5.341264265508611,2.92770688546564,121.40776050633258,38.752681636502764,54.46360153179636,20.640323604963644,181.94681461362114,19.62663796081336
Total,98.2663403816032,16.658963672161835,308.5023693401892,38.45007052582909,11.316416181677335,3.1854078421772307,35.32941063293477,7.411906242113898,5.014959193013059,1.7378003239250641,67.6344917850705,41.69163617855136,52.85249382241872,12.7894556743386,189.5027960188683,15.072043657794145
