Datetime,AT,BE,DK,ES,FI,FR,GB,GB-NIR,IE,IT,NL,NO,PT,SE
2018-01-01 00:00:00+00:00,0.5592469545957918,0.6275261062279318,0.5836273817925194,0.5408546924532475,0.6691793485990613,0.5930237480421623,0.5508334393688764,0.4911854103343465,0.6173718470301057,0.4255704800427383,0.568208214549678,0.6952878712460594,0.5319344111913772,0.5734242036297914
2018-01-01 00:15:00+00:00,0.5510335917312662,0.6143039591315453,,,,,,,,,0.5687889346425932,,,
2018-01-01 00:30:00+00:00,0.5421742340346991,0.6070918788971528,,,,,0.5652482140584952,0.46504559270516715,0.6074043938161107,,0.5623482208848063,,,
2018-01-01 00:45:00+00:00,0.5381136950904393,0.5982270302757118,,,,,,,,,0.5580192165558019,,,
2018-01-01 01:00:00+00:00,0.5418973791066815,0.5945458643227406,0.5501058574453069,0.5059592558916767,0.6572322571469208,0.5767049062354485,0.556213985785178,0.4413373860182371,0.5852318958502848,0.4001182935205678,0.5530039066624433,0.6847934295669488,0.5159958720330238,0.5745538067625574
2018-01-01 01:15:00+00:00,0.5332225913621262,0.5895124333258207,,,,,,,,,0.5490444514834759,,,
2018-01-01 01:30:00+00:00,0.5227021040974529,0.5817744722410036,,,,,0.5344554923381746,0.4297872340425532,0.5657038242473555,,0.5448210326259106,,,
2018-01-01 01:45:00+00:00,0.5168881506090809,0.5747877695139358,,,,,,,,,0.5395417590539542,,,
2018-01-01 02:00:00+00:00,0.5134736064968624,0.5714071069040643,0.5324629498941426,0.48035288624579164,0.6585123026596501,0.5458028192862888,0.5107156490284115,0.42249240121580545,0.5437347436940602,0.3792070518201939,0.5367437440608173,0.6682014269122283,0.4877880976952184,0.5657805557647413
2018-01-01 02:15:00+00:00,0.5074750830564784,0.5605889865524754,,,,,,,,,0.5328370816175694,,,
2018-01-01 02:30:00+00:00,0.502953119232189,0.5550296747051311,,,,,0.4958464362968753,0.4188449848024316,0.5278681855166802,,0.5270826734241368,,,
2018-01-01 02:45:00+00:00,0.49427833148763384,0.5579595823003531,,,,,,,,,0.5218561925879,,,
2018-01-01 03:00:00+00:00,0.49197120708748615,0.5564570655848546,0.5144671841919548,0.46374069250239597,0.6659081211776419,0.5224780933835669,0.4704706160362096,0.40364741641337387,0.5138323840520749,0.3639242921468366,0.5176327737303347,0.6699850671976108,0.46405228758169936,0.5589276300926275
2018-01-01 03:15:00+00:00,0.49021779254337394,0.552099767109909,,,,,,,,,0.5164185408087847,,,
2018-01-01 03:30:00+00:00,0.4915097822074566,0.554203290511607,,,,,0.4528202424881392,0.390273556231003,0.5036615134255492,,0.5144652095871608,,,
2018-01-01 03:45:00+00:00,0.4928940568475452,0.547291713620314,,,,,,,,,0.513831696758526,,,
2018-01-01 04:00:00+00:00,0.4984311554078996,0.5510480054090602,0.4943542695836274,0.4592436045511513,0.6816953491679704,0.5185624179824747,0.4388780833621144,0.34832826747720363,0.49776240846216435,0.3691139433717469,0.5136205258156478,0.6721835075493612,0.4477697511753239,0.5660441298290534
2018-01-01 04:15:00+00:00,0.49870801033591733,0.5527007737961085,,,,,,,,,0.5128286347798543,,,
2018-01-01 04:30:00+00:00,0.5023994093761536,0.555104800540906,,,,,0.4328431461654518,0.339209726443769,0.4869812855980472,,0.5164185408087847,,,
2018-01-01 04:45:00+00:00,0.5021225544481358,0.5571331981068289,,,,,,,,,0.519902861366276,,,
2018-01-01 05:00:00+00:00,0.4986157253599114,0.5599128540305011,0.5017642907551164,0.4636915440001966,0.6824775992035272,0.5220865258434576,0.4298620326104739,0.32948328267477206,0.47945484133441824,0.3847973746470274,0.5262907823883434,0.6871577899452463,0.43744983373466345,0.5760222908351532
2018-01-01 05:15:00+00:00,0.49963086009597635,0.5614904965817745,,,,,,,,,0.5312532995459824,,,
