Datetime,AT,BE,DE,DK,ES,FR,GB,NL,PT
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018-01-01 00:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 00:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 00:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.00014876524843796492,0.0,0.0,0.0,
2018-01-01 01:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 01:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 01:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0005950609937518597,0.0,0.0,0.0,
2018-01-01 02:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 02:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 02:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0008925914906277895,0.0,0.0,0.0,
2018-01-01 03:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 03:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 03:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0005950609937518597,0.0,0.0,0.0,
2018-01-01 04:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 04:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 04:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.00029753049687592984,0.0,0.0,0.0,
2018-01-01 05:15:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 05:30:00+00:00,0.0,,0.0,,,,0.0,0.0,
2018-01-01 05:45:00+00:00,0.0,,0.0,,,,,0.0,
2018-01-01 06:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.0032728354656352274,0.0,0.0,0.0,
2018-01-01 06:15:00+00:00,0.006705783738474434,,0.0,,,,,0.0,
2018-01-01 06:30:00+00:00,0.007544006705783738,,0.0,,,,0.0,0.0,
2018-01-01 06:45:00+00:00,0.007544006705783738,,0.0,,,,,0.0,
2018-01-01 07:00:00+00:00,0.010896898575020957,0.00033863867253640373,0.00016353611811980188,0.0,0.015917881582862243,0.0,0.0,0.0,
2018-01-01 07:15:00+00:00,0.015088013411567475,,0.0011447528268386134,,,,,0.0,
2018-01-01 07:30:00+00:00,0.020117351215423303,,0.005326604990187833,,,,0.0,0.0,
2018-01-01 07:45:00+00:00,0.025146689019279127,,0.013293150172881041,,,,,0.0,
2018-01-01 08:00:00+00:00,0.03604358759430008,0.011852353538774129,0.023268853378188955,0.007984031936127744,0.08687890508777149,0.018828451882845192,0.007056370780210088,0.0003869969040247678,
2018-01-01 08:15:00+00:00,0.047778709136630335,,0.03478646855434071,,,,,0.014705882352941175,
2018-01-01 08:30:00+00:00,0.06119027661357921,,0.047589010372862346,,,,0.014112741560420175,0.02902476780185758,
2018-01-01 08:45:00+00:00,0.07376362112321877,,0.0613260442949257,,,,,0.04373065015479876,
2018-01-01 09:00:00+00:00,0.08633696563285834,0.03894344734168642,0.07475936828333801,0.016966067864271458,0.21942874144599825,0.1108786610878661,0.034880923743083964,0.058049535603715174,
2018-01-01 09:15:00+00:00,0.0989103101424979,,0.08730492477338568,,,,,0.08088235294117647,
2018-01-01 09:30:00+00:00,0.11064543168482817,,0.09900943837024576,,,,0.05564910592574773,0.103328173374613,
2018-01-01 09:45:00+00:00,0.12238055322715842,,0.10994299598168396,,,,,0.12616099071207432,
2018-01-01 10:00:00+00:00,0.13076278290025148,0.06197087707416187,0.11956826464816372,0.02994011976047904,0.3363582267182386,0.20850767085076707,0.08074733381444953,0.1489938080495356,
2018-01-01 10:15:00+00:00,0.1383067896060352,,0.12744136062050276,,,,,0.15982972136222912,
2018-01-01 10:30:00+00:00,0.14501257334450965,,0.13365573310905526,,,,0.1058455617031513,0.1706656346749226,
2018-01-01 10:45:00+00:00,0.15171835708298406,,0.1383515559293524,,,,,0.18150154798761609,
2018-01-01 11:00:00+00:00,0.1533948030176027,0.06942092786996275,0.14162227829174842,0.03592814371257485,0.4134186254091045,0.25732217573221755,0.12348648865367652,0.19195046439628485,
2018-01-01 11:15:00+00:00,0.15423302598491198,,0.14251004579011306,,,,,0.18614551083591327,
2018-01-01 11:30:00+00:00,0.15423302598491198,,0.14117839454256612,,,,0.14104722957260846,0.17995356037151702,
2018-01-01 11:45:00+00:00,0.15423302598491198,,0.13912251191477432,,,,,0.17376160990712075,
2018-01-01 12:00:00+00:00,0.14836546521374686,0.055875380968506604,0.13557144192131576,0.033932135728542916,0.4454031538232669,0.2589958158995816,0.14609894956298616,0.16756965944272445,
2018-01-01 12:15:00+00:00,0.1416596814752724,,0.13024483693112793,,,,,0.15441176470588236,
2018-01-01 12:30:00+00:00,0.134953897736798,,0.12342304457527335,,,,0.1511506695533638,0.14086687306501547,
2018-01-01 12:45:00+00:00,0.12740989103101424,,0.1153864124848145,,,,,0.12770897832817338,
