Datetime,AT,BE,DE,DK,ES,FR,GB,IT,NL,PT
2018-01-01 12:00:00+00:00,0.14836546521374686,0.047070775482560105,0.1426969442108214,0.05988023952095808,0.4311216899732223,0.1900976290097629,0.14273113623606767,0.09713740243735522,0.16756965944272445,0.44591885270690296
2018-01-01 12:15:00+00:00,0.1416596814752724,,0.1375338753387534,,,,,,0.15441176470588236,0.4371178227192668
2018-01-01 12:30:00+00:00,0.134953897736798,,0.12858611344734136,,,,0.15475904097506216,,0.14086687306501547,0.4443657297679084
2018-01-01 12:45:00+00:00,0.12740989103101424,,0.12244182786655453,,,,,,0.12770897832817338,0.4231397162683151
2018-01-01 13:00:00+00:00,0.11483654652137468,0.02133423636979343,0.11237267545089244,0.04790419161676647,0.4132698601606665,0.15271966527196654,0.11346323470451447,0.09104091274463418,0.1141640866873065,0.406227933154818
2018-01-01 13:15:00+00:00,0.10310142497904444,,0.10069152415662087,,,,,,0.10178018575851393,0.3825859506390108
2018-01-01 13:30:00+00:00,0.09052808046940486,,0.0885197645079899,,,,0.12749579023334134,,0.08939628482972138,0.36739985967995226
2018-01-01 13:45:00+00:00,0.07795473595976529,,0.07485281749369217,,,,,,0.0770123839009288,0.3698158286961661
2018-01-01 14:00:00+00:00,0.06454316848281642,0.008804605485946495,0.05938697318007662,0.018962075848303398,0.3799464445105623,0.0895397489539749,0.10343998075535242,0.042370603364411216,0.06462848297213622,0.3522137687208936
2018-01-01 14:15:00+00:00,0.051969823973176864,,0.04373423044575273,,,,,,0.054179566563467486,0.3720592284969361
2018-01-01 14:30:00+00:00,0.040234702430846606,,0.02803476310625175,,,,0.06511105765375673,,0.043343653250774,0.3468641230421343
2018-01-01 14:45:00+00:00,0.02933780385582565,,0.01345668629100084,,,,,,0.03289473684210526,0.3116600030915893
2018-01-01 15:00:00+00:00,0.02347024308466052,0.0006772773450728075,0.0034108961779272967,0.000998003992015968,0.2790836060696221,0.030962343096234312,0.03319701707962473,0.008179457004400727,0.02244582043343653,0.29008885116110833
2018-01-01 15:15:00+00:00,0.01760268231349539,,0.00030370993365106064,,,,,,0.01780185758513932,0.25074307003991103
2018-01-01 15:30:00+00:00,0.012573344509639563,,0.0,,,,0.007296928874989977,,0.013157894736842105,0.2174372114592484
2018-01-01 15:45:00+00:00,0.006705783738474434,,9.344921035417252e-05,,,,,,0.008513931888544891,0.18602961424846806
2018-01-01 16:00:00+00:00,0.006705783738474434,0.0,0.0,0.0,0.11618565903005057,0.006694560669456066,0.00016037206318659288,0.0009652775346808312,0.003869969040247678,0.15669284762301391
2018-01-01 16:15:00+00:00,0.006705783738474434,,0.0,,,,,,0.002708978328173375,0.11648422042459736
