Datetime,AT,BE,DE,DK,ES,FI,FR,GB,GB-NIR,IE,NL,NO,PT,SE,CA-QC
2018-01-01 00:00:00+00:00,0.2570359639376081,0.7204647505010274,0.5752105294563996,0.3507559489369442,0.499177204226572,0.3943248532289628,0.7299503529086798,0.4833662714097497,0.4552763819095477,0.6040751910712845,1.097819884249411,0.6146492809525806,,0.3427517162055711,
2018-01-01 00:15:00+00:00,0.2433226908957932,,0.5805474937635308,,,,,,,,1.103057868541367,,,,
2018-01-01 00:30:00+00:00,0.23242239693947875,,0.5859829260468081,,,,,0.4833662714097497,,,1.1070633859410979,,,,
2018-01-01 00:45:00+00:00,0.22046723582610164,,0.592560586853383,,,,,,,,1.1110689033408294,,,,
2018-01-01 01:00:00+00:00,0.2085120747127245,0.7174205332453892,0.600122927421421,0.3386772498175761,0.4654858825567296,0.399706457925636,0.6997841114769828,0.4855072463768116,0.4653266331658292,0.5643216035341836,1.114458187294448,0.5953628778667561,,0.3502401469647279,0.6334994570282958
2018-01-01 01:15:00+00:00,0.1955020464422847,,0.6069369113707471,,,,,,,,1.1221611053708542,,,,
2018-01-01 01:30:00+00:00,0.18460175248597027,,0.6135342657725512,,,,,0.4855072463768116,,,1.1344857742931045,,,,
2018-01-01 01:45:00+00:00,0.17405308091534338,,0.6197377482697699,,,,,,,,1.1468104432153539,,,,
2018-01-01 02:00:00+00:00,0.1645592765017792,0.7037215555950176,0.6255276652671742,0.3453086924713468,0.35055430452104624,0.40313111545988256,0.6687455931846101,0.4804018445322793,0.4743718592964824,0.5150032430558253,1.1588269954145478,0.5718837784579263,,0.3404115815933346,0.6214700053652202
2018-01-01 02:15:00+00:00,0.15576871685959015,,0.6305101448601784,,,,,,,,1.1693029639984602,,,,
2018-01-01 02:30:00+00:00,0.14803302437446378,,0.635512318048412,,,,,0.4804018445322793,,,1.1773139987979226,,,,
2018-01-01 02:45:00+00:00,0.1420554438177752,,0.6413810094267333,,,,,,,,1.1856331503204414,,,,
2018-01-01 03:00:00+00:00,0.1364294856467742,0.6813972957203379,0.6466785865434057,0.34862441379823217,0.27676251515676425,0.4026418786692759,0.6375616954154582,0.4799077733860342,0.4773869346733669,0.4647881851142243,1.1933360683968477,0.5660140036057189,,0.3360433303171598,0.6019682508525848
2018-01-01 03:15:00+00:00,0.13080352747577326,,0.6495341578516494,,,,,,,,1.1930279516737914,,,,
2018-01-01 03:30:00+00:00,0.12552919169045978,,0.6522321803980587,,,,,0.4799077733860342,,,1.185325033597385,,,,
2018-01-01 03:45:00+00:00,0.12201296783358415,,0.654693879801717,,,,,,,,1.1766977653518105,,,,
2018-01-01 04:00:00+00:00,0.11744187681964585,0.6570435576752327,0.6566632393246435,0.3355983657283254,0.2761129395461632,0.3957925636007828,0.6419957694572257,0.4745553359683794,0.4693467336683417,0.4334037739007236,1.168994847275404,0.5391807471384847,,0.3438437790246148,0.5890173805739073
2018-01-01 04:15:00+00:00,0.11744187681964585,,0.6607398135371017,,,,,,,,1.1560539449070415,,,,
2018-01-01 04:30:00+00:00,0.11919998874808364,,0.6645800646068085,,,,,0.4745553359683794,,,1.1366425913544982,,,,
