Datetime,BE,DE,DK,GB,NL
2018-01-01 00:00:00+00:00,0.9486977150689871,0.6131545489488779,0.7046254359524674,0.7964091582935267,0.3989980318482734
2018-01-01 00:15:00+00:00,,0.6133393453771326,,,0.3989980318482734
2018-01-01 00:30:00+00:00,,0.6133393453771326,,0.7964091582935267,0.3989980318482734
2018-01-01 00:45:00+00:00,,0.6140785310901511,,,0.3989980318482734
2018-01-01 01:00:00+00:00,0.9486977150689871,0.6151873096596789,0.5957359508892641,0.8130456267501235,0.39989264626945786
2018-01-01 01:15:00+00:00,,0.6162960882292068,,,0.39989264626945786
2018-01-01 01:30:00+00:00,,0.6179592560834984,,0.8130456267501235,0.39989264626945786
2018-01-01 01:45:00+00:00,,0.6203616096508087,,,0.39989264626945786
2018-01-01 02:00:00+00:00,0.9486977150689871,0.6220247775051004,0.5894235169725567,0.8239169823752265,0.39989264626945786
2018-01-01 02:15:00+00:00,,0.6225791667898644,,,0.39989264626945786
2018-01-01 02:30:00+00:00,,0.6236879453593921,,0.8239169823752265,0.4007872606906424
2018-01-01 02:45:00+00:00,,0.6259055024984478,,,0.4016818751118268
2018-01-01 03:00:00+00:00,0.9464199294385696,0.6273838739244848,0.6991020562753484,0.8281996376214792,0.4016818751118268
2018-01-01 03:15:00+00:00,,0.6271990774962302,,,0.4016818751118268
2018-01-01 03:30:00+00:00,,0.6271990774962302,,0.8281996376214792,0.4016818751118268
2018-01-01 03:45:00+00:00,,0.6296014310635405,,,0.4007872606906424
2018-01-01 04:00:00+00:00,0.9430032509929428,0.6368084917654712,0.6777975918064608,0.8212815022236863,0.4007872606906424
2018-01-01 04:15:00+00:00,,0.6355149167676888,,,0.3989980318482734
2018-01-01 04:30:00+00:00,,0.6362541024807072,,0.8212815022236863,0.3954195741635355
2018-01-01 04:45:00+00:00,,0.6382868631915083,,,0.3918411164787977
2018-01-01 05:00:00+00:00,0.9373087869168985,0.639395641761036,0.6975239477961716,0.8112337341459397,0.3891572732152441
2018-01-01 05:15:00+00:00,,0.6395804381892907,,,0.3837895866881375
2018-01-01 05:30:00+00:00,,0.6392108453327815,,0.8112337341459397,0.3766326713186617
2018-01-01 05:45:00+00:00,,0.6406892167588185,,,0.3694757559491859
2018-01-01 06:00:00+00:00,0.9327532156560632,0.6443851453239112,0.7298751716192972,0.7969033108219403,0.3623188405797101
2018-01-01 06:15:00+00:00,,0.6477114810324947,,,0.3587403828949723
2018-01-01 06:30:00+00:00,,0.6508530203128234,,0.7969033108219403,0.3578457684737878
2018-01-01 06:45:00+00:00,,0.6536249667366429,,,0.3578457684737878
2018-01-01 07:00:00+00:00,0.9179476090583476,0.6558425238756985,0.7140940868275286,0.7749958820622632,0.35695115405260336
2018-01-01 07:15:00+00:00,,0.6597232488690459,,,0.3578457684737878
2018-01-01 07:30:00+00:00,,0.66267999172112,,0.7749958820622632,0.3605296117373412
2018-01-01 07:45:00+00:00,,0.6661911238579581,,,0.3623188405797101
2018-01-01 08:00:00+00:00,0.907697573721468,0.6691478667100322,0.7772184259946029,0.7492999505847472,0.3650026838432636
2018-01-01 08:15:00+00:00,,0.6715502202773426,,,0.3650026838432636
2018-01-01 08:30:00+00:00,,0.6732133881316342,,0.7492999505847472,0.3632134550008945
2018-01-01 08:45:00+00:00,,0.6759853345554537,,,0.3614242261585257
2018-01-01 09:00:00+00:00,0.9008642168302148,0.6774637059814909,0.8174601922136128,0.7161917311810245,0.3596349973161567
2018-01-01 09:15:00+00:00,,0.6772789095532362,,,0.35695115405260336
2018-01-01 09:30:00+00:00,,0.6778332988380001,,0.7161917311810245,0.35426731078904994
2018-01-01 09:45:00+00:00,,0.6778332988380001,,,0.3515834675254965
2018-01-01 10:00:00+00:00,0.8723918964499929,0.6780180952662548,0.8190383006927897,0.6895074946466809,0.3488996242619431
2018-01-01 10:15:00+00:00,,0.6776485024097455,,,0.34532116657720524
2018-01-01 10:30:00+00:00,,0.6774637059814909,,0.6895074946466809,0.3408480944712829
2018-01-01 10:45:00+00:00,,0.6774637059814909,,,0.3363750223653605
2018-01-01 11:00:00+00:00,0.768752650265986,0.6765397238402177,0.8111477582969053,0.6519519024872344,0.3319019502594382
2018-01-01 11:15:00+00:00,,0.6750613524141805,,,0.3247450348899624
2018-01-01 11:30:00+00:00,,0.6739525738446528,,0.6519519024872344,0.3149042762569333
2018-01-01 11:45:00+00:00,,0.6730285917033796,,,0.3050635176239041
2018-01-01 12:00:00+00:00,0.5853909070173582,0.6724742024186157,0.8024681616614326,0.6046779772689836,0.2961173734120594
2018-01-01 12:15:00+00:00,,0.6691478667100322,,,0.2862766147790303
2018-01-01 12:30:00+00:00,,0.6671151059992313,,0.6046779772689836,0.2764358561460011
2018-01-01 12:45:00+00:00,,0.6639735667189025,,,0.26570048309178745
2018-01-01 13:00:00+00:00,0.414556984736028,0.6604624345820644,0.8048353243801979,0.5863943337176742,0.25585972445875826
2018-01-01 13:15:00+00:00,,0.6560273203039532,,,0.24422973698336015
2018-01-01 13:30:00+00:00,,0.6517770024540966,,0.5863943337176742,0.2317051350867776
2018-01-01 13:45:00+00:00,,0.6467874988912214,,,0.21918053319019504
2018-01-01 14:00:00+00:00,0.3029454888455589,0.6408740131870732,0.8111477582969053,0.5699225827705485,0.20665593129361245
2018-01-01 14:15:00+00:00,,0.6329277667721238,,,0.1941313293970299
2018-01-01 14:30:00+00:00,,0.6253511132136839,,0.5699225827705485,0.18160672750044726
2018-01-01 14:45:00+00:00,,0.6170352739422252,,,0.1699767400250492
2018-01-01 15:00:00+00:00,0.2562508834219953,0.6081650453860028,0.8095696498177285,0.5676165376379511,0.15745213812846665
2018-01-01 15:15:00+00:00,,0.5968924632624701,,,0.14671676507425302
2018-01-01 15:30:00+00:00,,0.5865438632802106,,0.5676165376379511,0.1377706208624083
2018-01-01 15:45:00+00:00,,0.5758256704414417,,,0.12882447665056362
2018-01-01 16:00:00+00:00,0.3929180212470595,0.5645530883179091,0.7985228904634906,0.631856366331741,0.11987833243871893
2018-01-01 16:15:00+00:00,,0.5530957097661217,,,0.1109321882268742
2018-01-01 16:30:00+00:00,,0.5420079240708436,,0.631856366331741,0.10377527285739846
2018-01-01 16:45:00+00:00,,0.5309201383755655,,,0.09572374306673824
2018-01-01 17:00:00+00:00,0.6594189400059347,0.5192779633955236,0.7835308599113103,0.6901663646845659,0.08856682769726247
2018-01-01 17:15:00+00:00,,0.5072661955589722,,,0.08140991232778673
2018-01-01 17:30:00+00:00,,0.4945152420094024,,0.6901663646845659,0.07514761137949544
2018-01-01 17:45:00+00:00,,0.4832426598858697,,,0.06888531043120415
2018-01-01 18:00:00+00:00,0.8279750766568471,0.472524467047101,0.7645935581611879,0.7557239334541261,0.06262300948291287
2018-01-01 18:15:00+00:00,,0.4603279027822951,,,0.0617283950617284
2018-01-01 18:30:00+00:00,,0.44739215280447053,,0.7557239334541261,0.06799069601001967
2018-01-01 18:45:00+00:00,,0.4324236421158452,,,0.0733583825371265
2018-01-01 19:00:00+00:00,0.8928919671237526,0.4198574849945301,0.7385547682547698,0.7838906275737111,0.07962068348541779
2018-01-01 19:15:00+00:00,,0.4052585671624139,,,0.08856682769726247
2018-01-01 19:30:00+00:00,,0.3921380207563349,,0.7838906275737111,0.10109142959384504
2018-01-01 19:45:00+00:00,,0.3790174743502558,,,0.11361603149042765
2018-01-01 20:00:00+00:00,0.9190865018735566,0.3673752993702138,0.7093597613899979,0.8021742711250206,0.1261406333870102
2018-01-01 20:15:00+00:00,,0.3557331243901718,,,0.1377706208624083
2018-01-01 20:30:00+00:00,,0.34427574583838444,,0.8021742711250206,0.14850599391662195
