Datetime,AT,BE,DE,DK,ES,FI,FR,GB,GB-NIR,IE,IT,NL,NO,PT,SE,US-TX,CA-QC
2018-01-01 00:00:00+00:00,0.2802430413929872,0.5586138664095994,0.6364662758013175,0.3675713928090057,0.4831110341243721,0.5222649648871952,0.7055992905481533,0.4076086956521739,0.4994974874371859,0.6136399640125418,0.3768158325767912,0.8508745013807917,0.5580478805920087,0.29480343934216946,0.2725896011387243,0.20766463591528864,
2018-01-01 00:15:00+00:00,0.2823527757071126,,,,,,,,,,,0.8646824179196072,,0.29615514587166303,,,
2018-01-01 00:30:00+00:00,0.3002855173771783,,,,,,,0.4121376811594203,0.5005025125628141,0.5747830739386838,,0.8659097882786131,,0.3040964217324372,,,
2018-01-01 00:45:00+00:00,0.3080212098623047,,,,,,,,,,,0.8656029456888616,,0.3054669019637292,,,
2018-01-01 01:00:00+00:00,0.3354477559459345,0.5626728227504503,0.6566173532477594,0.3469665531347895,0.40866966914948905,0.5252361302765158,0.6906978941782789,0.4016798418972332,0.4582914572864322,0.5568491246738263,0.3716611771339485,0.8646824179196072,0.5226615236258437,0.3083205046371043,0.2618169308301916,0.217759887825162,0.5129918271143391
2018-01-01 01:15:00+00:00,0.3456448051308739,,,,,,,,,,,0.8745013807916538,,0.2987646904216573,,,
2018-01-01 01:30:00+00:00,0.32700881868943305,,,,,,,0.4092555994729908,0.4562814070351759,0.5694028891592265,,0.870512427124885,,0.28421507152780384,,,
2018-01-01 01:45:00+00:00,0.29501118159186485,,,,,,,,,,,0.8775698066891685,,0.2759921901400518,,,
2018-01-01 02:00:00+00:00,0.2760235727647365,0.5205611507141226,0.6872361673664129,0.3540716702638296,0.2803568335354235,0.5310965964365609,0.6751422901628977,0.3887516469038208,0.4331658291457287,0.5305459990853686,0.3665065216911057,0.8695918993556305,0.5302083770072533,0.2781699395486802,0.2630442142032777,0.22191712600328786,0.4965685245073557
2018-01-01 02:15:00+00:00,0.2517616281522947,,,,,,,,,,,0.8735808530223995,,0.2878008485713213,,,
2018-01-01 02:30:00+00:00,0.23558699841066685,,,,,,,0.3903985507246377,0.5326633165829145,0.4857111259232248,,0.8656029456888616,,0.28932151841700143,,,
2018-01-01 02:45:00+00:00,0.2092153194840997,,,,,,,,,,,0.8702055845351335,,0.2983328952802913,,,
2018-01-01 03:00:00+00:00,0.188821221114221,0.5048326948933255,0.701012821909046,0.33299315611434405,0.27407760263294645,0.4850825729348813,0.6545710941986319,0.3951745718050066,0.5336683417085427,0.4381861603713523,0.39701366614874656,0.8757287511506597,0.5462244769611337,0.3186648143280892,0.25609539816880816,0.22082970699158688,0.4828708804954266
2018-01-01 03:15:00+00:00,0.16315278695902896,,,,,,,,,,,0.8815587603559374,,0.33573010926294444,,,
2018-01-01 03:30:00+00:00,0.15295573777408966,,,,,,,0.3803524374176548,0.4502512562814071,0.3909600939738941,,0.8858545566124578,,0.3438591221417039,,,
2018-01-01 03:45:00+00:00,0.13256163940421106,,,,,,,,,,,0.8781834918686714,,0.3444786543010551,,,
2018-01-01 04:00:00+00:00,0.11462889773414535,0.4718536746239123,0.7021509147773451,0.33701938915413343,0.2672787112419885,0.474420226873654,0.6578421324261654,0.3722002635046113,0.4331658291457287,0.4011226652239801,0.4254168696093087,0.8738876956121508,0.5257641189048677,0.3548417376938384,0.252697690851735,0.2220365535248041,0.4445340384697707
2018-01-01 04:15:00+00:00,0.11111267387726972,,,,,,,,,,,0.8683645289966248,,0.36663162242330943,,,
2018-01-01 04:30:00+00:00,0.11392565296277025,,,,,,,0.3836462450592885,0.4331658291457287,0.382590917650294,,0.8665234734581159,,0.3833777644275898,,,
2018-01-01 04:45:00+00:00,0.1121675410343324,,,,,,,,,,,0.8619208346118441,,0.4011940074343859,,,
2018-01-01 05:00:00+00:00,0.11251916342001997,0.44039676298231817,0.7530620094202344,0.3554926936896376,0.2680148969340031,0.4601301665758623,0.6487559151274614,0.3677536231884058,0.4331658291457287,0.4029160601504658,0.4445627326827247,0.8536360846885548,0.5097480189509874,0.4286223857620245,0.2652449289836116,0.22333188279663474,0.4235455798290549
2018-01-01 05:15:00+00:00,0.11287078580570753,,,,,,,,,,,0.8490334458422829,,0.4503247850411144,,,
2018-01-01 05:30:00+00:00,0.11251916342001997,,,,,,,0.36240118577075103,0.4402010050251256,0.4414740510699095,,0.837066584841976,,0.4691923553486276,,,
2018-01-01 05:45:00+00:00,0.11709025443395828,,,,,,,,,,,0.8158944461491255,,0.4886043630082979,,,
2018-01-01 06:00:00+00:00,0.11392565296277025,0.4053882645424795,0.7732475506583274,0.3483875765605975,0.25038974536636066,0.4299424043406596,0.6557341300128661,0.34214426877470355,0.4512562814070352,0.4531311180920669,0.4514005409232304,0.7971770481742866,0.4934803572177268,0.505913716066534,0.29500503870123873,0.2244773232762789,0.3981288713345985
2018-01-01 06:15:00+00:00,0.12236459021927172,,,,,,,,,,,0.783369131635471,,0.5295122592272744,,,
2018-01-01 06:30:00+00:00,0.1188483663623961,,,,,,,0.3194993412384717,0.5025125628140703,0.4830210335334961,,0.7873580853022399,,0.5454886794578154,,,
2018-01-01 06:45:00+00:00,0.11111267387726972,,,,,,,,,,,0.7879717704817428,,0.5670033417189201,,,
2018-01-01 07:00:00+00:00,0.10548671570626872,0.3987924604885968,0.7650317766005822,0.3642556714821203,0.25822795773428026,0.4330148043166129,0.6411234925965501,0.3078886693017128,0.5396984924623116,0.512612049820511,0.464655369204826,0.7612764651733661,0.4159993291685883,0.5824165508955056,0.3165554843425406,0.21960497050575373,0.3749629785819266
2018-01-01 07:15:00+00:00,0.10654158286333144,,,,,,,,,,,0.7698680576864069,,0.5828107986332745,,,
2018-01-01 07:30:00+00:00,0.10900293956314434,,,,,,,0.2991600790513834,0.5246231155778894,0.5230735202250113,,0.7744706965326787,,0.5858333646228363,,,
2018-01-01 07:45:00+00:00,0.10689320524901898,,,,,,,,,,,0.7698680576864069,,0.5822100401757218,,,
2018-01-01 08:00:00+00:00,0.09845426799251747,0.4206093508206703,0.7490614524853613,0.3877025580079525,0.2498700848778798,0.41351518027844775,0.6244048527669349,0.2662220026350461,0.5095477386934674,0.4979659912542107,0.4755958623896352,0.7589751457502302,0.3740723659385351,0.5767093455487553,0.3207504559513734,0.21986461657479933,0.3728693222414064
2018-01-01 08:15:00+00:00,0.09775102322114236,,,,,,,,,,,0.7480822338140534,,0.5734239477340142,,,
2018-01-01 08:30:00+00:00,0.09599291129270454,,,,,,,0.27775032938076416,0.4291457286432161,0.5111175540484396,,0.7671064743786438,,0.567791837194458,,,
2018-01-01 08:45:00+00:00,0.09564128890701698,,,,,,,,,,,0.7631175207118748,,0.5722036571171103,,,
2018-01-01 09:00:00+00:00,0.10267373662076824,0.3703797661026408,0.7427045568813065,0.4743849869822412,0.27923090247704835,0.39453495451413706,0.6144463586075554,0.2679512516469038,0.4090452261306533,0.5356272847104115,0.4935845579146579,0.7523780300705738,0.3567146031612929,0.5748695227725003,0.32820510071554976,0.2214249105502369,0.3734946722221429
2018-01-01 09:15:00+00:00,0.10548671570626872,,,,,,,,,,,0.7606627799938631,,0.5758082078624263,,,
2018-01-01 09:30:00+00:00,0.1216613454478966,,,,,,,0.25790513833992096,0.5165829145728643,0.5682072925415694,,0.7689475299171525,,0.5866030863965757,,,
2018-01-01 09:45:00+00:00,0.14346193336052546,,,,,,,,,,,0.7809143909174593,,0.6017722374497804,,,
2018-01-01 10:00:00+00:00,0.15506547208821506,0.34501128897232297,0.7497343826343452,0.4800690806854733,0.3055603672267452,0.3688069241676719,0.622006091400077,0.2627635046113307,0.5467336683417086,0.6070641826154274,0.52840478141631,0.7612764651733661,0.35193492935306697,0.6103330454699057,0.3387805119642995,0.2167817425780872,0.350712171487279
2018-01-01 10:15:00+00:00,0.16983361228709265,,,,,,,,,,,0.7615833077631176,,0.6153643975519093,,,
2018-01-01 10:30:00+00:00,0.19163420019972152,,,,,,,0.25370553359683795,0.5386934673366834,0.6572792405570285,,0.7404111690702669,,0.6178988472947096,,,
2018-01-01 10:45:00+00:00,0.21941236866903893,,,,,,,,,,,0.7453206505062903,,0.6312094018698606,,,
2018-01-01 11:00:00+00:00,0.23945484465323,0.31558385550115425,0.7070847511901333,0.4987792224586121,0.3609475142906634,0.35591025999193776,0.6331276213736906,0.25881093544137024,0.6150753768844222,0.6913537441602577,0.5339802250585685,0.7269100951212029,0.3554567942643914,0.6300078849547553,0.33031500484727244,0.21177690745575864,0.3336961749404261
2018-01-01 11:15:00+00:00,0.2682878802796101,,,,,,,,,,,0.7284443080699601,,0.623718694852251,,,
2018-01-01 11:30:00+00:00,0.284462510021238,,,,,,,0.2551054018445323,0.6070351758793969,0.7179557689031297,,0.6996011046333231,,0.6209214132842714,,,
2018-01-01 11:45:00+00:00,0.306966342705242,,,,,,,,,,,0.6833384473764958,,0.6248451169601622,,,
