iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,10452.3959916,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,10474.6605149,1,-0.5032088612964438,14.0,272.0,20.0,7.0,10.0,132.0,67.41176470588236,199.88235294117646,22.264523300000292
2,10496.9659539,1,-0.5884033017142413,40.0,303.0,20.0,20.0,5.094117647058823,158.0,9.176470588235295,167.1764705882353,44.56996230000004
3,10521.2783393,1,-0.11424380169684896,36.0,353.0,5.0,7.0,6.964705882352941,109.33333333333333,38.11764705882353,163.1764705882353,68.88234770000054
4,10545.6188462,1,-0.4386319203359121,49.0,204.0,5.0,16.0,9.188235294117646,96.0,26.823529411764707,155.88235294117646,93.22285459999875
5,10568.2977811,1,0.6312223326322467,14.0,278.0,7.0,6.0,1.3529411764705883,70.0,20.11764705882353,188.11764705882354,115.90178949999972
6,10591.6097528,1,-0.5458262652718764,13.0,209.0,19.0,18.0,7.423529411764706,146.66666666666666,57.88235294117647,199.88235294117646,139.21376119999877
7,10612.8699787,1,0.9015084027770942,51.0,252.0,19.0,13.0,3.2941176470588234,102.66666666666666,68.11764705882354,155.41176470588235,160.47398710000016
8,10635.590001,1,-0.5786389640164668,17.0,200.0,13.0,16.0,6.929411764705883,94.66666666666666,2.823529411764706,163.1764705882353,183.19400940000014
9,10656.966014,1,0.6126494585028506,46.0,257.0,20.0,5.0,9.576470588235294,133.33333333333331,58.58823529411765,198.94117647058823,204.5700223999993
10,10678.1139918,1,0.9762792858578113,40.0,319.0,20.0,20.0,1.8470588235294119,72.66666666666666,5.647058823529412,172.8235294117647,225.71800020000046
11,10700.7104895,1,-0.6149622774425135,13.0,201.0,11.0,20.0,7.423529411764706,146.66666666666666,80.47058823529412,183.88235294117646,248.31449789999897
12,10721.8287853,1,0.2845085266514819,11.0,272.0,6.0,5.0,1.3176470588235294,158.0,24.0,191.1764705882353,269.4327936999998
13,10744.6059319,1,-0.6765373866168123,34.0,248.0,17.0,13.0,3.611764705882353,68.0,45.1764705882353,155.41176470588235,292.2099402999993
14,10768.2670709,1,-0.5455086010898014,17.0,329.0,9.0,16.0,7.776470588235294,100.0,39.1764705882353,163.88235294117646,315.8710792999991
15,10791.7843116,1,-0.6513415583465284,54.0,209.0,7.0,18.0,7.423529411764706,103.33333333333333,57.88235294117647,199.88235294117646,339.38832
16,10816.854972,1,-0.6958206815857717,30.0,305.0,12.0,19.0,5.447058823529412,127.33333333333333,9.176470588235295,170.94117647058823,364.45898039999884
17,10841.2092552,1,-0.07415226818803061,38.0,355.0,5.0,7.0,7.4941176470588236,194.66666666666666,81.1764705882353,163.41176470588235,388.8132635999991
18,10865.0393813,1,-0.26041316266489756,56.0,230.0,7.0,6.0,3.541176470588235,70.66666666666666,17.294117647058826,193.29411764705884,412.6433896999988
19,10887.098234,1,0.4507940019454904,17.0,220.0,6.0,5.0,1.035294117647059,104.66666666666666,22.941176470588236,206.23529411764707,434.7022423999988
20,10908.6044623,1,0.9359483990688623,10.0,240.0,17.0,10.0,1.0,30.0,16.941176470588236,183.64705882352942,456.20847069999945
21,10932.3386266,1,-0.5455773506469253,22.0,248.0,9.0,13.0,3.611764705882353,100.0,52.235294117647065,155.41176470588235,479.9426349999994
22,10954.8358357,1,-0.4089096838362759,33.0,340.0,9.0,12.0,7.423529411764706,189.33333333333331,80.47058823529412,163.1764705882353,502.4398440999994
23,10978.1213136,1,-0.5654210105310841,11.0,272.0,7.0,15.0,5.552941176470588,160.66666666666666,27.529411764705884,190.94117647058823,525.7253220000002
24,11001.1216208,1,-0.5820934954125049,17.0,269.0,9.0,15.0,7.776470588235294,186.0,38.82352941176471,164.11764705882354,548.7256292000002
25,11024.047384,1,0.023118564029307447,23.0,355.0,7.0,5.0,7.4941176470588236,56.0,46.94117647058824,151.88235294117646,571.6513923999992
26,11045.1316004,1,0.8689790601612126,16.0,360.0,13.0,14.0,2.1294117647058823,94.66666666666666,2.823529411764706,179.1764705882353,592.7356087999997
27,11068.5803984,1,-0.4014384683089565,23.0,329.0,9.0,10.0,7.776470588235294,110.66666666666666,38.82352941176471,162.0,616.1844067999991
28,11093.0304919,1,-0.5505005448533563,14.0,297.0,7.0,19.0,5.447058823529412,128.66666666666666,10.588235294117649,168.11764705882354,640.6345002999988
29,11117.5450275,1,-0.47813141465730624,23.0,239.0,5.0,18.0,7.388235294117647,52.666666666666664,45.1764705882353,170.23529411764707,665.1490359
30,11142.1534254,1,-0.41101873956604157,39.0,249.0,18.0,5.0,5.905882352941177,196.0,62.47058823529412,154.47058823529412,689.7574337999995
31,11167.4616792,1,-0.701461643060514,33.0,250.0,17.0,16.0,6.929411764705883,74.66666666666666,9.176470588235295,176.8235294117647,715.0656875999994
32,11191.8307029,1,-0.6101784765453109,48.0,302.0,9.0,15.0,3.2588235294117647,103.33333333333333,16.58823529411765,164.58823529411765,739.4347113000003
33,11214.5311008,1,-0.7081276053608049,50.0,208.0,12.0,13.0,5.517647058823529,160.66666666666666,48.352941176470594,209.76470588235293,762.1351092000004
34,11237.5445532,1,-0.4502947505369958,13.0,338.0,9.0,12.0,7.423529411764706,189.33333333333331,79.05882352941177,182.70588235294116,785.1485615999991
35,11259.0138419,1,0.935348357619115,33.0,250.0,17.0,20.0,2.411764705882353,80.0,65.64705882352942,178.7058823529412,806.6178502999992
36,11282.3619229,1,-0.534223579739246,14.0,256.0,9.0,13.0,4.1764705882352935,146.0,7.058823529411765,200.58823529411765,829.9659312999993
37,11307.3399031,1,-0.7792317402663357,58.0,245.0,12.0,19.0,5.094117647058823,130.0,9.176470588235295,170.47058823529412,854.9439115000005
38,11332.8418193,1,-0.07151172585858787,33.0,350.0,5.0,6.0,7.247058823529412,106.66666666666666,52.58823529411765,167.1764705882353,880.4458276999994
39,11357.1326037,1,-0.41805329996583573,38.0,224.0,18.0,5.0,6.752941176470588,68.0,56.82352941176471,171.41176470588235,904.7366120999995
40,11379.9985121,1,-0.45375567566243663,10.0,321.0,7.0,17.0,8.552941176470588,132.66666666666666,26.117647058823533,163.41176470588235,927.6025205000005
41,11401.1232082,1,0.8630169504203832,33.0,312.0,13.0,14.0,2.976470588235294,85.33333333333333,20.47058823529412,168.8235294117647,948.7272166000002
42,11424.2345942,1,-0.5976718493873602,16.0,272.0,8.0,15.0,8.376470588235293,160.66666666666666,33.1764705882353,190.94117647058823,971.8386025999989
43,11447.1280534,1,-0.6990271239996975,58.0,297.0,7.0,19.0,5.447058823529412,134.0,52.235294117647065,196.35294117647058,994.7320617999994
44,11469.8845535,1,-0.393109879592733,31.0,249.0,18.0,5.0,5.905882352941177,110.66666666666666,5.647058823529412,158.23529411764707,1017.4885618999997
45,11494.8216494,1,-0.5494080916780535,23.0,235.0,11.0,13.0,7.988235294117647,76.66666666666666,51.529411764705884,155.41176470588235,1042.4256578000004
46,11517.7573039,1,-0.7935825774672691,44.0,297.0,15.0,18.0,4.882352941176471,167.33333333333331,29.647058823529413,181.76470588235293,1065.3613122999996
47,11539.6415495,1,0.7515377436280827,26.0,246.0,12.0,12.0,2.8352941176470585,130.0,20.47058823529412,172.35294117647058,1087.2455578999998
48,11562.0994039,1,-0.6706092861852527,58.0,224.0,10.0,17.0,5.8,158.0,0.35294117647058826,209.76470588235293,1109.7034122999994
49,11584.5075314,1,0.7249421584516503,33.0,280.0,13.0,14.0,2.1294117647058823,170.66666666666666,21.88235294117647,180.11764705882354,1132.1115398000002
50,11610.2249451,1,-0.5687126416240519,46.0,261.0,9.0,13.0,5.305882352941176,146.0,7.411764705882353,200.35294117647058,1157.8289535000004
51,11634.4097787,1,-0.7339007412556151,33.0,250.0,17.0,16.0,7.776470588235294,159.33333333333331,53.64705882352941,206.47058823529412,1182.0137870999988
52,11655.8143194,1,0.9155838631851534,55.0,211.0,19.0,13.0,8.411764705882353,72.66666666666666,50.82352941176471,158.23529411764707,1203.4183278
53,11678.558128,1,-0.6992058529373084,54.0,272.0,8.0,16.0,3.929411764705882,190.0,40.23529411764706,190.0,1226.1621364000002
54,11699.9396101,1,0.8449104663751695,55.0,235.0,17.0,7.0,9.964705882352941,82.0,73.41176470588236,154.47058823529412,1247.5436184999999
55,11724.1231056,1,-0.6094015358149969,48.0,300.0,9.0,15.0,4.3882352941176475,61.33333333333333,16.58823529411765,157.05882352941177,1271.7271139999993
56,11747.4877672,1,-0.6539764504337572,10.0,244.0,12.0,19.0,5.094117647058823,130.0,76.94117647058825,169.52941176470588,1295.0917756
57,11770.1812696,1,-0.6367396139042394,17.0,258.0,19.0,17.0,9.541176470588235,74.0,50.82352941176471,182.70588235294116,1317.7852779999994
58,11792.6846806,1,-0.6816298172362151,42.0,228.0,12.0,17.0,5.8,168.66666666666666,3.882352941176471,202.23529411764707,1340.288688999999
59,11815.2553082,1,-0.6123989785394688,10.0,236.0,7.0,19.0,5.094117647058823,130.0,31.764705882352942,168.35294117647058,1362.8593165999991
60,11837.8817054,1,0.8930648156859459,52.0,280.0,17.0,13.0,2.341176470588235,87.33333333333333,9.882352941176471,180.35294117647058,1385.4857137999988
61,11859.5342181,1,0.5108033467419456,40.0,272.0,7.0,16.0,2.235294117647059,182.0,34.58823529411765,206.0,1407.1382264999993
62,11882.1027973,1,-0.804951626346202,50.0,268.0,12.0,20.0,5.447058823529412,34.0,25.411764705882355,171.41176470588235,1429.7068056999997
63,11904.9401667,1,-0.3281851958313814,18.0,201.0,9.0,8.0,9.470588235294118,82.66666666666666,86.11764705882354,184.11764705882354,1452.5441750999998
64,11926.4301168,1,0.8344433740500221,55.0,211.0,16.0,17.0,5.729411764705882,179.33333333333331,33.88235294117647,150.7058823529412,1474.0341251999998
65,11949.5178385,1,-0.28812310091453613,55.0,235.0,7.0,6.0,9.823529411764707,103.33333333333333,57.529411764705884,186.47058823529412,1497.1218468999996
66,11971.8745145,1,-0.5442161454042034,48.0,316.0,9.0,13.0,4.458823529411765,63.33333333333333,13.764705882352942,160.8235294117647,1519.478522899999
67,11994.9301881,1,-0.5650205580775343,49.0,208.0,10.0,13.0,5.8352941176470585,184.66666666666666,1.411764705882353,197.76470588235293,1542.5341964999989
68,12017.7463867,1,-0.5556340935379537,28.0,256.0,5.0,15.0,7.388235294117647,166.0,55.411764705882355,203.41176470588235,1565.3503951000002
69,12040.4398164,1,-0.6843627778124647,33.0,248.0,17.0,20.0,8.694117647058825,162.0,48.0,189.05882352941177,1588.0438247999991
70,12065.1381994,1,-0.7097099600578123,44.0,297.0,15.0,14.0,3.7176470588235295,82.0,87.52941176470588,181.52941176470588,1612.7422078
71,12089.9611978,1,-0.3065773946696547,49.0,316.0,9.0,7.0,4.458823529411765,106.0,5.294117647058824,174.0,1637.565206199999
72,12113.1141091,1,0.2996103588168321,17.0,337.0,9.0,5.0,1.035294117647059,180.66666666666666,25.058823529411768,195.88235294117646,1660.7181175000005
73,12136.6827066,1,-0.7674458144835685,42.0,268.0,12.0,20.0,5.447058823529412,34.0,0.7058823529411765,170.94117647058823,1684.2867150000002
74,12159.6308668,1,-0.5154161113650096,44.0,246.0,11.0,9.0,8.976470588235294,74.0,54.0,182.70588235294116,1707.2348751999998
