iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,27810.571492,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,27845.6917549,1,0.8751677619806933,47.0,250.0,17.0,8.0,2.6941176470588237,46.0,47.64705882352941,194.70588235294116,35.12026289999994
2,27885.7881426,1,-0.5573070605212631,20.0,302.0,15.0,15.0,9.929411764705883,193.33333333333331,79.41176470588236,162.7058823529412,75.21665059999941
3,27918.885214,1,-0.17223469993542706,26.0,354.0,6.0,9.0,8.16470588235294,53.33333333333333,23.294117647058826,190.0,108.3137220000026
4,27953.5979818,1,-0.612754023427412,42.0,261.0,11.0,12.0,5.411764705882353,32.0,71.29411764705883,197.76470588235293,143.0264898000023
5,27987.0152831,1,-0.4737638894208017,12.0,357.0,18.0,7.0,5.905882352941177,106.66666666666666,54.0,199.1764705882353,176.44379110000227
6,28015.4711224,1,-0.5656094855775564,34.0,217.0,18.0,10.0,5.9411764705882355,157.33333333333331,58.58823529411765,158.23529411764707,204.8996303999993
7,28038.9903383,1,0.885702725755159,48.0,235.0,6.0,17.0,2.8,38.0,26.823529411764707,156.8235294117647,228.41884629999913
8,28063.886056,1,-0.6226170745784038,42.0,229.0,11.0,12.0,3.152941176470588,32.0,71.29411764705883,197.76470588235293,253.31456400000025
9,28089.0631968,1,-0.3682821262615375,13.0,264.0,5.0,13.0,3.3294117647058825,164.0,58.58823529411765,168.35294117647058,278.4917048000025
10,28113.4702018,1,-0.6683584928639168,37.0,302.0,15.0,19.0,9.929411764705883,193.33333333333331,79.41176470588236,162.7058823529412,302.8987097999998
11,28138.0847151,1,-0.5132079084469324,10.0,217.0,18.0,10.0,5.9411764705882355,157.33333333333331,58.58823529411765,158.23529411764707,327.5132231000025
12,28161.6442733,1,0.7338783963596188,34.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,351.0727813000012
13,28186.6793496,1,-0.6413017127942956,44.0,302.0,15.0,15.0,9.929411764705883,193.33333333333331,79.41176470588236,162.7058823529412,376.1078576
14,28210.6555935,1,-0.5595525420210677,18.0,261.0,11.0,12.0,5.411764705882353,32.0,71.29411764705883,197.76470588235293,400.08410150000054
15,28235.5745428,1,-0.5886455574806951,46.0,250.0,17.0,8.0,7.211764705882353,46.0,47.64705882352941,194.70588235294116,425.0030508000018
16,28258.8433529,1,0.8857238472845115,47.0,235.0,6.0,17.0,2.8,38.0,26.823529411764707,156.8235294117647,448.2718609000003
17,28281.4481843,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,470.8766923000003
18,28306.3725731,1,-0.1735907903351501,26.0,354.0,6.0,9.0,7.88235294117647,53.33333333333333,23.294117647058826,190.0,495.8010811000022
19,28330.930944,1,-0.5566812000349435,36.0,341.0,18.0,7.0,5.905882352941177,106.66666666666666,54.0,199.1764705882353,520.3594520000006
20,28355.0949782,1,-0.5132079084469324,10.0,217.0,18.0,10.0,5.9411764705882355,157.33333333333331,58.58823529411765,158.23529411764707,544.5234861999998
21,28379.6531604,1,-0.6357760687289065,29.0,302.0,15.0,19.0,9.929411764705883,193.33333333333331,79.41176470588236,162.94117647058823,569.081668400002
22,28404.8029311,1,-0.18978403224128976,34.0,354.0,6.0,9.0,7.88235294117647,53.33333333333333,23.294117647058826,190.0,594.2314391
23,28429.3965727,1,-0.48322879296720384,10.0,250.0,17.0,8.0,7.211764705882353,46.0,47.64705882352941,194.70588235294116,618.8250807000004
24,28453.6652938,1,-0.637931289200075,50.0,261.0,11.0,12.0,5.411764705882353,32.0,71.29411764705883,197.76470588235293,643.0938018000015
25,28478.2953812,1,-0.5727523426387959,26.0,261.0,11.0,12.0,5.411764705882353,32.0,71.29411764705883,197.76470588235293,667.7238892000023
26,28502.5867022,1,-0.6083253867890175,52.0,341.0,18.0,7.0,5.905882352941177,106.66666666666666,54.0,199.1764705882353,692.0152101999993
27,28526.6284534,1,-0.5022968009082424,10.0,302.0,15.0,13.0,9.929411764705883,193.33333333333331,79.41176470588236,162.7058823529412,716.0569614000015
28,28550.2641548,1,0.7349124005882627,44.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,739.6926628000001
29,28574.7571307,1,-0.612754023427412,42.0,261.0,11.0,12.0,5.411764705882353,32.0,71.29411764705883,197.76470588235293,764.1856387000007
30,28599.0706063,1,-0.6226170745784038,42.0,229.0,11.0,12.0,3.152941176470588,32.0,71.29411764705883,197.76470588235293,788.4991143000007
