iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,11047.6028978,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,11073.5896817,1,-0.44526199337185973,10.0,216.0,7.0,13.0,7.776470588235294,41.33333333333333,28.23529411764706,183.41176470588235,25.986783899999864
2,11100.3216208,1,0.8280597774908434,26.0,329.0,15.0,5.0,2.6941176470588237,35.333333333333336,53.64705882352941,191.1764705882353,52.718722999999954
3,11127.0805142,1,-0.44526199337185973,10.0,216.0,7.0,13.0,7.776470588235294,41.33333333333333,28.23529411764706,183.41176470588235,79.47761640000135
