iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,33190.49141,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,33215.0991315,1,-0.5125270521577129,50.0,312.0,9.0,11.0,4.211764705882353,179.33333333333331,89.29411764705883,196.8235294117647,24.607721499996842
2,33239.2614894,1,-0.5588388937733362,18.0,358.0,14.0,13.0,4.317647058823529,40.666666666666664,16.23529411764706,153.52941176470588,48.770079399997485
3,33263.6263223,1,-0.3062266447685914,48.0,270.0,12.0,5.0,8.447058823529412,189.33333333333331,1.411764705882353,206.94117647058823,73.13491229999636
4,33286.8813928,1,0.877103018764444,39.0,241.0,20.0,10.0,3.0470588235294116,98.0,3.1764705882352944,173.76470588235293,96.38998279999942
5,33311.6512534,1,-0.46958687738327715,20.0,321.0,13.0,9.0,5.764705882352941,32.666666666666664,64.94117647058825,201.52941176470588,121.15984339999704
6,33336.5622378,1,-0.46197266327988906,36.0,248.0,10.0,9.0,9.894117647058824,180.0,38.82352941176471,161.52941176470588,146.07082779999473
7,33362.7197216,1,-0.6771505597050477,12.0,304.0,14.0,20.0,6.929411764705883,50.0,68.82352941176471,161.2941176470588,172.22831159999623
8,33387.3000576,1,-0.6493964967566596,12.0,304.0,14.0,20.0,9.188235294117646,50.0,68.82352941176471,157.52941176470588,196.8086475999953
9,33410.4375872,1,0.8958329794447867,38.0,209.0,20.0,12.0,9.823529411764707,98.0,3.1764705882352944,173.76470588235293,219.9461771999995
10,33434.943828,1,-0.5551697827114656,52.0,256.0,10.0,11.0,9.894117647058824,180.0,38.82352941176471,161.52941176470588,244.45241800000076
11,33460.0203955,1,-0.31299436944833164,34.0,312.0,9.0,7.0,4.211764705882353,94.0,89.29411764705883,196.58823529411765,269.528985500001
12,33484.5692557,1,-0.09906893602996003,16.0,271.0,6.0,5.0,8.447058823529412,189.33333333333331,1.411764705882353,206.94117647058823,294.07784569999785
13,33507.62733,1,0.7978604587960331,42.0,200.0,5.0,9.0,1.5647058823529412,30.0,28.941176470588236,191.1764705882353,317.1359200000006
14,33531.9497585,1,-0.32042548414998817,10.0,312.0,9.0,7.0,5.341176470588235,179.33333333333331,89.29411764705883,196.8235294117647,341.45834849999665
15,33554.9890562,1,0.9640286009746581,52.0,210.0,18.0,20.0,6.929411764705883,50.0,68.82352941176471,161.2941176470588,364.4976461999977
16,33577.947125,1,0.8961567379163325,34.0,321.0,13.0,9.0,1.2470588235294118,32.666666666666664,64.94117647058825,201.52941176470588,387.4557149999964
17,33600.70219,1,0.7719686033528318,10.0,200.0,7.0,5.0,1.035294117647059,30.0,28.23529411764706,190.23529411764707,410.21078000000125
18,33624.824244,1,-0.46417415239651777,36.0,248.0,10.0,9.0,9.611764705882353,180.0,38.82352941176471,161.52941176470588,434.33283400000073
19,33649.2369677,1,-0.5736892313932271,18.0,342.0,14.0,13.0,4.247058823529412,40.666666666666664,16.23529411764706,153.52941176470588,458.74555770000006
20,33673.3723075,1,-0.6695997525748555,29.0,263.0,11.0,16.0,6.682352941176471,184.66666666666666,22.58823529411765,182.0,482.88089749999926
21,33698.4801275,1,-0.31350464857546534,34.0,312.0,9.0,7.0,4.211764705882353,94.0,89.29411764705883,196.8235294117647,507.9887174999967
22,33722.7044127,1,-0.5288211047328852,53.0,240.0,10.0,11.0,9.894117647058824,180.0,16.23529411764706,154.0,532.2130026999948
23,33745.6267163,1,0.9025823316675669,38.0,320.0,13.0,9.0,1.2470588235294118,32.666666666666664,19.764705882352942,201.52941176470588,555.1353062999988
24,33769.9511858,1,-0.6695997525748555,29.0,263.0,11.0,16.0,6.682352941176471,184.66666666666666,22.58823529411765,182.0,579.4597757999945
25,33794.660723,1,-0.5041622728940864,12.0,320.0,14.0,12.0,9.258823529411764,50.0,68.82352941176471,157.52941176470588,604.1693129999985
26,33818.9028431,1,0.9838749120605477,12.0,304.0,14.0,20.0,2.976470588235294,47.33333333333333,68.11764705882354,161.2941176470588,628.4114330999946
27,33843.3809388,1,-0.2347803944174931,10.0,312.0,9.0,5.0,5.341176470588235,179.33333333333331,89.29411764705883,196.58823529411765,652.8895287999985
28,33866.1571998,1,0.7719686033528318,10.0,200.0,7.0,5.0,1.035294117647059,30.0,28.23529411764706,190.23529411764707,675.6657897999976
29,33890.5595779,1,-0.6499420522264403,12.0,304.0,14.0,20.0,9.188235294117646,47.33333333333333,68.82352941176471,157.52941176470588,700.0681678999972
30,33915.3382347,1,-0.4646885113436415,36.0,252.0,10.0,9.0,9.894117647058824,180.0,38.82352941176471,162.47058823529412,724.8468246999983
31,33939.4072802,1,-0.5189751502942347,20.0,256.0,10.0,12.0,9.894117647058824,180.0,44.47058823529412,161.52941176470588,748.9158701999986
32,33963.729134,1,-0.6190950258361182,42.0,312.0,9.0,15.0,5.341176470588235,94.0,78.0,196.8235294117647,773.2377239999987
33,33988.1737071,1,-0.6707168162441723,29.0,263.0,11.0,16.0,6.682352941176471,184.66666666666666,22.58823529411765,182.94117647058823,797.6822971000001
34,34010.9646276,1,0.7283846074607694,34.0,325.0,17.0,9.0,1.2470588235294118,123.33333333333333,65.29411764705883,201.52941176470588,820.4732175999961
35,34035.1460186,1,-0.6283135072353873,12.0,304.0,14.0,16.0,6.929411764705883,36.666666666666664,23.647058823529413,163.41176470588235,844.6546085999944
36,34058.3449148,1,0.9128760274994948,10.0,220.0,15.0,9.0,1.035294117647059,30.0,25.411764705882355,190.23529411764707,867.8535047999976
37,34082.3342842,1,-0.46802716485099466,21.0,240.0,10.0,11.0,9.894117647058824,180.0,16.23529411764706,154.0,891.842874199996
38,34106.9564793,1,-0.6022993522751688,26.0,312.0,9.0,15.0,5.341176470588235,94.0,78.0,204.35294117647058,916.4650693000003
39,34130.111121,1,0.7283846074607694,34.0,325.0,17.0,9.0,1.2470588235294118,123.33333333333333,65.29411764705883,201.52941176470588,939.6197109999994
40,34154.1747926,1,-0.6668564241084993,29.0,263.0,11.0,16.0,7.247058823529412,179.33333333333331,22.58823529411765,182.94117647058823,963.6833826000002
41,34178.5472998,1,-0.31608528153741067,26.0,248.0,9.0,7.0,4.211764705882353,100.0,89.29411764705883,181.76470588235293,988.0558897999945
42,34203.0127942,1,-0.6803588924082028,29.0,263.0,11.0,16.0,6.647058823529411,142.0,34.94117647058824,182.0,1012.5213842000012
43,34227.2188027,1,-0.4352639013775215,40.0,252.0,9.0,9.0,9.894117647058824,180.0,38.82352941176471,158.7058823529412,1036.7273926999987
44,34251.6613975,1,-0.6716618836208518,12.0,305.0,14.0,20.0,6.929411764705883,50.0,80.11764705882354,163.1764705882353,1061.1699874999977
45,34276.6711804,1,-0.5374677208939345,20.0,256.0,10.0,12.0,7.635294117647058,180.0,44.47058823529412,161.2941176470588,1086.1797703999982
46,34301.2391487,1,-0.6489657749761351,29.0,263.0,11.0,15.0,6.682352941176471,142.0,22.58823529411765,182.0,1110.7477386999963
47,34325.1446622,1,-0.6935065544638648,28.0,240.0,14.0,20.0,9.188235294117646,42.0,68.82352941176471,157.52941176470588,1134.653252199998
48,34349.702774,1,-0.5989202340916456,13.0,263.0,11.0,15.0,6.682352941176471,99.33333333333333,22.58823529411765,160.35294117647058,1159.2113639999952
