iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,11047.6821072,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,11073.6225323,1,-0.3440039767134412,17.0,287.0,5.0,15.0,7.988235294117647,94.66666666666666,53.294117647058826,168.8235294117647,25.94042509999963
2,11101.6681264,1,-0.371215440153132,17.0,287.0,5.0,15.0,3.4705882352941178,94.66666666666666,53.294117647058826,168.8235294117647,53.986019199999646
3,11127.9137707,1,-0.6160595811275186,17.0,286.0,15.0,15.0,9.117647058823529,94.66666666666666,53.294117647058826,168.8235294117647,80.23166350000065
4,11155.6749394,1,-0.6160595811275186,17.0,286.0,15.0,15.0,9.117647058823529,94.66666666666666,53.294117647058826,168.8235294117647,107.99283219999961
