iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,251.4681553,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,272.4705073,1,-0.642466660074336,12.0,324.0,16.0,15.0,5.8352941176470585,83.33333333333333,33.529411764705884,195.1764705882353,21.002352000000002
2,297.7123367,1,-0.5588186573506342,40.0,334.0,17.0,8.0,9.08235294117647,87.33333333333333,68.82352941176471,204.11764705882354,46.244181399999974
3,316.6798382,1,0.8014413333444964,33.0,326.0,6.0,20.0,2.623529411764706,84.0,58.58823529411765,161.05882352941177,65.2116829
4,335.8310665,1,0.43354268575295907,50.0,265.0,9.0,8.0,1.7058823529411764,200.0,36.70588235294118,173.76470588235293,84.36291120000001
5,366.6293658,1,-0.6957336583934437,22.0,201.0,8.0,20.0,3.788235294117647,194.66666666666666,28.941176470588236,195.1764705882353,115.16121050000001
6,392.3631414,1,-0.25194882820378145,43.0,218.0,7.0,7.0,6.576470588235294,143.33333333333331,0.35294117647058826,152.58823529411765,140.8949861
7,415.4422266,1,-0.3635307020914403,24.0,330.0,9.0,8.0,6.823529411764706,87.33333333333333,68.82352941176471,196.58823529411765,163.97407130000002
8,439.4880121,1,-0.7162265301376017,38.0,281.0,8.0,18.0,3.6470588235294117,194.66666666666666,32.11764705882353,196.11764705882354,188.01985679999999
9,459.0456995,1,0.42992885148904064,50.0,265.0,9.0,8.0,1.988235294117647,200.0,36.70588235294118,173.76470588235293,207.5775442
10,482.2877808,1,0.8967582024110619,33.0,310.0,6.0,19.0,2.623529411764706,41.33333333333333,57.1764705882353,160.11764705882354,230.8196255
11,501.0346531,1,0.5177107826133427,11.0,272.0,5.0,5.0,1.0,72.66666666666666,28.23529411764706,191.1764705882353,249.5664978
12,521.0353892,1,-0.25634710899053503,43.0,218.0,7.0,7.0,6.223529411764706,156.66666666666666,0.0,152.58823529411765,269.5672339
13,540.9336053,1,-0.4805482128146912,23.0,293.0,5.0,19.0,3.611764705882353,116.0,20.11764705882353,172.35294117647058,289.4654499999999
14,563.8123761,1,-0.6107270221125651,34.0,316.0,8.0,16.0,5.623529411764705,84.66666666666666,33.529411764705884,198.94117647058823,312.3442208
15,584.6814617,1,-0.47414936699493176,20.0,332.0,17.0,8.0,9.08235294117647,87.33333333333333,22.941176470588236,204.11764705882354,333.21330639999996
16,606.53384,1,-0.47939108344969417,20.0,217.0,9.0,8.0,3.9647058823529413,200.0,36.70588235294118,173.76470588235293,355.0656847
17,627.4532461,1,-0.7048436584967734,54.0,265.0,8.0,20.0,4.352941176470589,194.66666666666666,28.941176470588236,165.05882352941177,375.98509079999997
18,648.3274916,1,0.7986599895793722,10.0,232.0,5.0,9.0,1.0,30.0,28.23529411764706,183.64705882352942,396.8593363
19,670.597708,1,-0.4272471746445183,27.0,218.0,15.0,7.0,6.223529411764706,199.33333333333331,0.0,152.58823529411765,419.1295527
20,695.6245651,1,-0.6708125780067871,54.0,288.0,8.0,18.0,3.6470588235294117,194.66666666666666,32.11764705882353,166.0,444.1564098
