iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,35758.9012754,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,35781.9266344,1,0.8950977120005876,47.0,218.0,15.0,14.0,1.8470588235294119,74.66666666666666,68.82352941176471,174.0,23.0253589999993
2,35806.3042387,1,-0.6621433112999277,28.0,204.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,47.40296330000274
3,35830.5963176,1,-0.6102199240610383,45.0,331.0,10.0,17.0,6.364705882352941,154.66666666666666,3.5294117647058827,164.35294117647058,71.6950422000009
4,35854.6004925,1,-0.3027309231744326,47.0,210.0,6.0,7.0,4.776470588235294,84.0,66.3529411764706,196.11764705882354,95.69921710000199
5,35879.3807202,1,-0.4571031747902637,34.0,270.0,14.0,7.0,6.294117647058823,168.0,11.647058823529413,162.47058823529412,120.47944480000297
6,35904.0553384,1,-0.8240225046401314,53.0,261.0,12.0,20.0,7.952941176470588,192.66666666666666,37.411764705882355,202.47058823529412,145.15406300000177
7,35928.3568228,1,-0.51389655603863,34.0,276.0,19.0,5.0,8.976470588235294,154.0,60.352941176470594,201.52941176470588,169.4555474000008
8,35952.8018357,1,-0.6102199240610383,45.0,331.0,10.0,17.0,6.364705882352941,154.66666666666666,3.5294117647058827,164.35294117647058,193.90056029999687
9,35977.3122364,1,-0.8078761009056861,53.0,229.0,12.0,20.0,5.694117647058824,192.66666666666666,37.411764705882355,202.47058823529412,218.4109610000014
10,36001.5227055,1,-0.51389655603863,34.0,276.0,19.0,5.0,8.976470588235294,154.0,60.352941176470594,201.52941176470588,242.6214301
11,36026.0242535,1,-0.6621433112999277,28.0,204.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,267.1229781000002
12,36050.8402485,1,-0.3027309231744326,47.0,210.0,6.0,7.0,4.776470588235294,84.0,66.3529411764706,196.11764705882354,291.9389730999974
13,36075.8515955,1,-0.4571031747902637,34.0,270.0,14.0,7.0,6.294117647058823,168.0,11.647058823529413,162.47058823529412,316.95032009999704
14,36098.7216645,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,339.8203891000012
15,36123.2237639,1,-0.3027309231744326,47.0,210.0,6.0,7.0,4.776470588235294,84.0,66.3529411764706,196.11764705882354,364.3224885000018
16,36147.4231988,1,-0.6102199240610383,45.0,331.0,10.0,17.0,6.364705882352941,154.66666666666666,3.5294117647058827,164.35294117647058,388.5219234000033
17,36172.6086941,1,-0.6764102811027057,49.0,218.0,15.0,14.0,6.364705882352941,74.66666666666666,68.82352941176471,174.0,413.7074187000035
18,36196.9925708,1,-0.8240225046401314,53.0,261.0,12.0,20.0,7.952941176470588,192.66666666666666,37.411764705882355,202.47058823529412,438.0912954000014
19,36220.1852578,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,461.2839824000039
20,36244.262762,1,-0.6863434423675415,28.0,220.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,485.3614865999989
21,36268.5240744,1,-0.51389655603863,34.0,276.0,19.0,5.0,8.976470588235294,154.0,60.352941176470594,201.52941176470588,509.62279899999703
22,36292.8974205,1,-0.8238339438179539,53.0,261.0,12.0,20.0,7.952941176470588,192.66666666666666,37.411764705882355,202.23529411764707,533.9961450999981
23,36320.9736647,1,-0.3027309231744326,47.0,210.0,6.0,7.0,4.776470588235294,84.0,66.3529411764706,196.11764705882354,562.0723893000031
24,36345.1957719,1,-0.8340279181411289,57.0,261.0,12.0,20.0,7.952941176470588,192.66666666666666,37.411764705882355,202.47058823529412,586.2944964999988
25,36369.9295565,1,-0.6102199240610383,45.0,331.0,10.0,17.0,6.364705882352941,154.66666666666666,3.5294117647058827,164.35294117647058,611.0282810999997
26,36394.0494762,1,-0.6621433112999277,28.0,204.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,635.1482008000021
27,36418.2957301,1,-0.6863434423675415,28.0,220.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,659.3944546999992
28,36442.5753012,1,-0.35863600787926564,34.0,270.0,14.0,5.0,6.294117647058823,168.0,11.647058823529413,162.47058823529412,683.6740257999991
29,36465.8930856,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,706.991810200001
30,36490.216599,1,-0.6863434423675415,28.0,220.0,14.0,19.0,5.0588235294117645,92.66666666666666,0.7058823529411765,176.35294117647058,731.3153235999998
31,36514.5644389,1,-0.8078761009056861,53.0,229.0,12.0,20.0,5.694117647058824,192.66666666666666,37.411764705882355,202.47058823529412,755.6631635000012
32,36539.0041147,1,-0.5264264374613883,15.0,210.0,6.0,15.0,4.776470588235294,84.0,66.3529411764706,196.11764705882354,780.1028393000015
