iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,8821.1158878,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,8843.9317793,1,-0.14750346788640248,35.0,221.0,7.0,5.0,4.317647058823529,39.33333333333333,38.11764705882353,186.70588235294116,22.815891499998543
2,8866.7752792,1,-0.7124925921218231,52.0,268.0,10.0,19.0,5.870588235294117,182.0,7.058823529411765,177.05882352941177,45.65939139999864
3,8888.6936814,1,0.90503173959278,34.0,225.0,20.0,7.0,9.505882352941176,38.0,80.82352941176471,204.35294117647058,67.5777935999995
4,8912.009725,1,-0.5823511800458059,47.0,278.0,8.0,12.0,6.858823529411764,128.0,54.70588235294118,197.05882352941177,90.89383719999933
5,8936.0207939,1,-0.36689762678426047,27.0,342.0,11.0,8.0,6.647058823529411,71.33333333333333,37.05882352941177,160.35294117647058,114.9049060999987
6,8957.4473995,1,0.698722567045471,29.0,349.0,13.0,14.0,2.2,184.66666666666666,26.47058823529412,166.23529411764707,136.3315117000002
7,8980.1982433,1,-0.45475182258855523,46.0,320.0,8.0,9.0,8.48235294117647,118.66666666666666,65.64705882352942,206.70588235294116,159.0823554999988
8,9003.0903907,1,-0.46577520346093576,24.0,234.0,7.0,13.0,3.788235294117647,94.0,0.7058823529411765,174.47058823529412,181.9745028999987
9,9026.0072058,1,-0.3235806067119538,41.0,211.0,10.0,6.0,9.435294117647059,84.0,48.0,163.88235294117646,204.89131799999996
10,9047.7140624,1,0.905046576168137,34.0,225.0,20.0,7.0,9.788235294117648,38.0,80.82352941176471,204.35294117647058,226.59817459999977
11,9071.1129549,1,-0.717933442997258,52.0,268.0,10.0,19.0,5.870588235294117,139.33333333333331,5.647058823529412,178.0,249.99706709999919
12,9094.1658905,1,-0.44415674145918893,59.0,334.0,11.0,8.0,6.647058823529411,71.33333333333333,37.05882352941177,160.35294117647058,273.0500026999998
13,9116.9027858,1,-0.5723566255326009,14.0,270.0,8.0,12.0,6.858823529411764,170.66666666666666,54.70588235294118,197.05882352941177,295.7868980000003
14,9140.1309256,1,-0.4335123102542223,14.0,320.0,8.0,9.0,3.9647058823529413,118.66666666666666,65.64705882352942,206.70588235294116,319.01503779999985
15,9164.8426448,1,-0.49764868830760023,56.0,234.0,7.0,13.0,3.788235294117647,104.66666666666666,1.0588235294117647,174.47058823529412,343.72675699999854
