iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,27811.7277987,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,27854.5179661,1,-0.6452497818401783,43.0,358.0,20.0,20.0,5.2,78.66666666666666,31.411764705882355,171.41176470588235,42.79016739999861
2,27889.4025543,1,-0.49024221073949975,19.0,240.0,8.0,10.0,4.3882352941176475,89.33333333333333,38.47058823529412,195.88235294117646,77.6747555999973
3,27931.0024706,1,-0.6811341883399262,38.0,211.0,14.0,20.0,7.388235294117647,176.0,36.352941176470594,155.1764705882353,119.2746718999988
4,27970.4226423,1,-0.4320271380809993,37.0,266.0,13.0,7.0,8.694117647058825,190.66666666666666,67.76470588235294,164.11764705882354,158.69484359999842
5,28000.0041035,1,-0.6106911848018771,24.0,347.0,20.0,12.0,7.4941176470588236,192.0,48.0,166.7058823529412,188.2763047999979
6,28025.4987743,1,0.44432859107798095,12.0,313.0,11.0,5.0,2.623529411764706,134.0,58.94117647058824,188.11764705882354,213.77097559999675
7,28050.4464622,1,-0.5912383183597566,57.0,290.0,16.0,9.0,8.694117647058825,190.66666666666666,68.47058823529412,163.64705882352942,238.71866349999982
8,28074.9824671,1,-0.44896835288530634,37.0,212.0,14.0,5.0,8.729411764705883,171.33333333333331,31.764705882352942,186.94117647058823,263.2546683999972
9,28100.2809306,1,-0.37229896894592346,26.0,346.0,6.0,12.0,7.564705882352941,170.66666666666666,48.0,166.7058823529412,288.55313190000015
10,28123.5414602,1,0.4950051562616302,24.0,200.0,5.0,9.0,1.5647058823529412,115.33333333333333,31.764705882352942,191.1764705882353,311.81366149999667
11,28148.1532849,1,-0.5776462924396382,37.0,266.0,13.0,12.0,9.823529411764707,137.33333333333331,67.76470588235294,164.11764705882354,336.425486199998
12,28172.9226686,1,-0.3520536615120074,10.0,244.0,6.0,10.0,9.470588235294118,86.66666666666666,38.47058823529412,199.64705882352942,361.1948698999986
13,28196.25262,1,0.6519430942120128,45.0,321.0,19.0,5.0,2.4823529411764707,131.33333333333331,13.411764705882353,188.11764705882354,384.5248212999977
14,28219.0805401,1,0.5651487291674375,42.0,264.0,7.0,5.0,1.035294117647059,78.0,28.23529411764706,190.0,407.3527413999982
15,28242.3571828,1,0.921509331929654,54.0,324.0,19.0,19.0,1.1411764705882352,118.0,63.1764705882353,162.47058823529412,430.62938409999697
16,28266.9784561,1,-0.7679445922111549,52.0,276.0,17.0,15.0,8.8,171.33333333333331,31.764705882352942,186.70588235294116,455.2506573999999
17,28291.8503512,1,-0.5221627439852631,32.0,275.0,16.0,9.0,8.129411764705882,190.66666666666666,64.23529411764706,156.35294117647058,480.12255249999725
18,28316.2579708,1,-0.3447399253946832,40.0,245.0,6.0,10.0,9.470588235294118,88.0,83.64705882352942,199.64705882352942,504.5301720999996
19,28340.7612294,1,-0.641997944701085,54.0,227.0,14.0,12.0,7.458823529411765,174.66666666666666,42.0,155.1764705882353,529.0334306999976
20,28365.1633203,1,-0.6823012248532357,38.0,324.0,19.0,19.0,8.341176470588234,115.33333333333333,62.47058823529412,177.52941176470588,553.4355215999967
21,28389.4586734,1,-0.47301587714940635,37.0,216.0,9.0,9.0,8.341176470588234,116.66666666666666,26.117647058823533,194.70588235294116,577.7308746999988
22,28414.1773448,1,-0.7181087156143311,38.0,239.0,14.0,20.0,6.823529411764706,178.66666666666666,12.352941176470589,155.1764705882353,602.449546099997
23,28438.3848379,1,-0.5316116395003977,30.0,257.0,20.0,20.0,7.564705882352941,80.66666666666666,71.29411764705883,179.88235294117646,626.6570391999994
24,28462.4908262,1,-0.6028488548199425,37.0,314.0,14.0,12.0,8.694117647058825,190.66666666666666,30.705882352941178,161.76470588235293,650.7630274999974
25,28486.7926477,1,-0.3843745770087282,13.0,212.0,16.0,5.0,8.729411764705883,118.0,31.764705882352942,186.0,675.0648489999985
26,28511.0054817,1,-0.5642414592469027,34.0,240.0,10.0,12.0,9.505882352941176,177.33333333333331,26.823529411764707,177.05882352941177,699.2776829999966
27,28533.9592417,1,0.9008030096013463,60.0,237.0,20.0,12.0,9.894117647058824,80.66666666666666,27.176470588235297,167.41176470588235,722.231442999997
28,28556.8638516,1,0.8453227037215127,42.0,284.0,15.0,11.0,1.0,78.0,25.411764705882355,193.76470588235293,745.1360528999976
29,28581.5248803,1,-0.5834228865987175,53.0,305.0,16.0,9.0,5.870588235294117,190.66666666666666,64.23529411764706,156.35294117647058,769.7970815999979
30,28606.1475701,1,-0.5897661583025956,48.0,286.0,12.0,12.0,8.83529411764706,190.66666666666666,27.176470588235297,150.47058823529412,794.4197714000002
31,28630.3139294,1,-0.6585935661391806,54.0,291.0,14.0,10.0,6.047058823529412,169.33333333333331,36.352941176470594,172.11764705882354,818.5861306999977
