iteration,timestamp,success,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,time_sec
0,11184.8436014,1,0.7316836268234375,10.0,200.0,5.0,5.0,1.0,30.0,28.23529411764706,191.1764705882353,0.0
1,11208.3583965,1,-0.4979649779262829,44.0,325.0,6.0,19.0,8.376470588235293,51.33333333333333,15.529411764705884,153.52941176470588,23.5147950999999
2,11231.3607338,1,0.8049470759343245,44.0,309.0,8.0,11.0,1.6,62.666666666666664,15.529411764705884,160.8235294117647,46.517132400000264
3,11256.3878017,1,-0.4979649779262829,44.0,325.0,6.0,19.0,8.376470588235293,51.33333333333333,15.529411764705884,153.52941176470588,71.54420030000074
