iteration,timestamp,success,NPV_over_CAPEX,annual_carbon_offset,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h,time_sec
18,158416.9979759,1,-0.8572405420204842,-117536.65224615952,77.56018889699124,316.21178169264584,5.163708569575781,20.30887718390831,4.924288958559149,45.72152953471142,6.184869811382425,159.74476824009795,159.0760002671496,39.618566568658736,268.4663036999991
19,158434.0151252,1,-0.043356548387473604,-46956.013923633975,119.93695690700045,209.5197558276093,19.28257507491626,5.563605049099004,7.1427479803826195,174.4035997623219,62.60519366128137,194.1791517738395,184.2177463851018,5.307170481535078,285.48345299999346
20,158449.7168252,1,0.06952197370277922,-29832.152247090224,80.01295972349027,206.08492306699227,10.98561312864215,7.734365136248577,9.026839063088113,107.76919069600913,35.75880782731546,197.48745830651268,50.13016971663883,4.809602173389696,301.18515299999854
21,158467.6053614,1,-3.9842453009908168,-316992.5060462861,36.09610190093926,241.98941850029559,7.095930947381356,44.979727241983014,6.244995291517216,52.61189558842038,50.770424174774405,154.04823181227007,31.384277158030645,4.955712426856126,319.0736891999841
22,158483.4580208,1,0.14922385906532845,-42367.19005892069,97.28455492708359,311.1271052849026,14.029745664303988,11.171326168479975,8.180185450383316,154.10356933297186,42.456543541629586,188.48028835484308,78.92773361640106,18.4333158019475,334.9263485999836
23,158499.6441458,1,-1.882234950352229,-107036.25022552536,98.09841412613918,315.96535607139697,6.898275687176946,11.171326168479975,8.534153316919586,154.10356933297186,62.599198728394384,155.60590337771006,78.92773361640106,18.4333158019475,351.11247359999106
24,158514.5096089,1,-0.0869481102856544,-48903.15654513025,119.93695690700045,208.73760733645454,19.28257507491626,5.496919324174488,7.1427479803826195,174.4035997623219,42.46253823748252,194.1791517738395,183.9915677731499,5.307170481535078,365.97793669998646
25,158530.0759768,1,0.36495354672387287,-42721.13209511638,51.575674318027865,273.8044243449641,8.730642482096442,30.302552149974474,1.206839967665362,164.50638641147714,77.5770373900224,204.96977758349226,186.2917744324365,7.586940048685168,381.5443045999855
26,158546.1983633,1,0.7009069441056911,-19282.599207414332,52.306977417483964,230.66102376834704,18.330555120415234,13.705145635850915,2.74754091174234,68.30114417351425,24.13503150991575,205.94242915289925,97.37843084125515,19.863927678269686,397.666691099992
27,158564.6609929,1,-2.242481913191915,-378762.3687565631,104.65414538887856,345.94249366797777,9.783088474516138,46.98365184605596,5.690176276978849,129.20558344092046,49.886862980551584,152.9581733196525,170.96996410450143,27.805784002072482,416.1293206999835
28,158582.3193024,1,0.8031528917964224,-11820.181161983985,40.4969891823162,327.2530713261464,10.472916455536609,25.15385236969772,1.1660943653025304,51.364154854086294,50.90961197793438,151.0158414498,139.70927241541952,23.095725124369288,433.7876301999786
29,158599.6756548,1,-0.863906927830888,-118462.99384968335,77.56018889699124,306.7010561582769,5.274429120795789,20.30887718390831,7.082645963824937,41.179817961066036,8.22719993285542,159.48128964592323,159.0760002671496,39.618566568658736,451.14398259998416
30,158617.2425383,1,-0.04449759543119699,-47372.46581256249,119.93695690700045,209.5197558276093,19.378104476318498,5.563605049099004,4.959053517390823,174.4035997623219,60.7008754118733,194.44963931905008,183.39120057284643,5.307170481535078,468.7108660999802
31,158634.4153955,1,-2.4102458818051296,-400754.5809393152,25.278192616639664,324.5771050288666,13.76475406396213,44.61578291308849,4.993290358950757,170.18535849150174,12.353715110558603,209.40538045290998,177.6968310414608,11.275809699909379,485.88372329997947
32,158649.2883532,1,0.7212499352459733,-9913.224362753655,77.56018889699124,316.21178169264584,5.163708569575781,20.30887718390831,1.890098438778634,48.32906821097425,74.15938456690068,159.01089625887425,72.71666614824076,39.618566568658736,500.75668099999893
33,158668.5444079,1,0.6347669070239578,-29693.195582966662,118.35766132644851,346.7230787781876,12.479485945007717,31.165174650269112,6.81534247213791,139.15527550170557,86.6129219847668,182.97642769369006,192.79201305683165,8.737123867108371,520.0127356999728
34,158685.4787661,1,0.6317627424562733,-43906.89222122669,47.0293756028632,349.4038495625677,14.94822483219739,33.30409378444691,2.6609762190235537,191.12438478722137,17.787506370931723,155.70930425556597,36.34570994452971,28.706137170643814,536.947093899973
35,158707.3002153,1,-2.358873832684641,-140230.19591758997,65.66599966806817,229.40631411241912,11.123509874128356,10.924470913792817,6.43079744439109,49.544650909051654,7.81858957047389,170.6395853607595,54.17107834625025,21.072108942731045,558.7685430999845
36,158723.6910271,1,-2.0283965394348527,-390291.7247725925,36.09610190093926,238.53903316750763,14.225805201015547,44.979727241983014,6.1186871699118175,52.61189558842038,53.17962533657988,188.12797803278642,31.384277158030645,4.955712426856126,575.1593548999808
37,158736.3961133,1,-3.100472648343235,-355363.27018754516,23.80236223901508,271.3129403396362,10.051510628388158,36.68647642227998,5.650832067853557,121.09085806377452,43.12593477460823,199.33448467906354,79.57725544191204,27.79032491669917,587.8644410999841
38,158743.5911572,1,0.7994422969648881,-10127.978487703931,35.78036727082429,352.0656455659055,5.60784194910797,44.70530490913809,2.31008287140397,49.433931619138114,71.94365325671102,153.4626607166203,167.7533360869542,8.84801452293242,595.0594849999761
39,158753.3716063,1,-2.5427116801917817,-382359.97408815176,61.74995285012789,281.8299580582529,15.426830048590276,33.03034074153847,8.066627617622267,190.72675616019373,22.220518803110924,175.60618170954675,35.32688651895261,27.407401433557702,604.8399340999895
40,158770.7241434,1,0.16815423180026776,-43745.36126021948,52.306977417483964,341.0255879239783,17.272268679480828,11.481419082708873,2.74754091174234,164.01260899536388,17.953506571370188,205.94242915289925,154.4902222016567,9.087235650542768,622.1924711999891
41,158791.7617146,1,-2.2366410550142137,-406312.9143093371,25.278192616639664,324.6611275490212,14.477369017507474,44.61578291308849,4.993290358950757,170.18535849150174,13.611090795265104,154.39810738216914,177.6968310414608,12.911886906281378,643.2300423999841
42,158812.6628592,1,-2.1893060973361216,-111519.6688059323,98.39309789898276,314.49303229044284,6.207150405175578,11.171326168479975,8.534153316919586,153.5274539179784,41.20002802243683,209.1360282284084,78.92773361640106,17.747637407942804,664.1311869999918
43,158832.252708,1,0.9445249495786615,-10509.847654102583,76.56110605777187,238.53903316750763,14.225805201015547,44.979727241983014,4.924383649033361,45.82214392022902,50.770424174774405,156.0682687805922,31.384277158030645,37.50093232519006,683.7210358000011
44,158854.4365062,1,-2.6629466607505963,-107925.5866188475,37.09529536013973,316.21178169264584,5.163708569575781,20.30887718390831,6.1185924794369635,52.511281203864904,6.184869811382425,190.5212490306559,159.0760002671496,4.314818433895574,705.9048339999863
45,158872.0497837,1,-2.0239050131064467,-392420.70730939705,36.09610190093926,238.53903316750763,14.225805201015547,44.979727241983014,5.851394938653386,52.61189558842038,50.770424174774405,186.7897015611046,31.384277158030645,8.597093258544275,723.5181114999868
46,158889.912926,1,-2.239787865982054,-378884.70933826384,104.65414538887856,345.94249366797777,9.783088474516138,46.98365184605596,5.690176276978849,129.20558344092046,49.886862980551584,152.9581733196525,171.70986369254908,27.805784002072482,741.3812537999765
47,158909.5146758,1,-0.863906927830888,-118462.99384968335,77.56018889699124,306.7010561582769,5.274429120795789,20.30887718390831,7.082645963824937,41.179817961066036,8.22719993285542,159.48128964592323,159.0760002671496,39.618566568658736,760.9830035999767
48,158932.4233414,1,-2.8698365775971606,-364305.79769089597,47.0293756028632,349.943733636062,15.426830048590276,33.03034074153847,8.066627617622267,190.72675616019373,17.787506370931723,175.60618170954675,36.34570994452971,27.403098793898497,783.8916691999766
49,158952.0841782,1,-1.7993667842632453,-72578.07825022643,63.199156712447866,354.658355031072,9.783088474516138,6.733897520689506,5.750233688964225,49.433931619138114,48.243846821444954,153.0786142098468,50.22987617727253,20.927695568226323,803.5525059999782
50,158974.2520955,1,-2.0601858339190913,-407779.38595929416,42.12653420439804,229.40631411241912,11.123509874128356,43.353168537480876,6.370740032405648,49.544650909051654,3.1222467045181475,170.6395853607595,174.8627948728447,27.95019736053708,825.7204232999939
51,158990.9586124,1,-0.08141789135506142,-48903.15654513025,119.9472399404946,206.24389660689718,19.28257507491626,5.496919324174488,7.1427479803826195,174.4035997623219,42.46253823748252,194.1791517738395,183.9915677731499,5.307170481535078,842.4269401999773
52,159011.8270452,1,-2.4703492781377148,-355337.11302013916,39.65969024560195,354.658355031072,9.783088474516138,46.98365184605596,5.690176276978849,49.433931619138114,43.01217886913333,153.0786142098468,160.1008687111293,27.805784002072482,863.2953730000008
53,159032.4647847,1,-3.955669861536289,-317209.83848985174,36.09610190093926,238.3414403590542,7.095930947381356,44.979727241983014,6.244995291517216,52.61189558842038,71.16200604353934,152.8414943238685,31.384277158030645,4.1579296581540195,883.9331124999735
