Iteration,Eval,New simulations,Time [min],NPV_over_CAPEX,clearance [m],sp [W/m2],p_rated [MW],Nwt,wind_MW_per_km2 [MW/km2],solar_MW [MW],surface_tilt [deg],surface_azimuth [deg],DC_AC_ratio,b_P [MW],b_E_h [h],cost_of_battery_P_fluct_in_peak_price_ratio
2,51,22,1.7,-0.743552955,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,30,90,161.1221167,1.479,20,4,8.75
2,52,22,1.7,-0.704886811,70.10827065,327.2458261,11.57019677,16.83400675,9.928661918,200,6.426216349,161.1221167,1.479,20,4,8.75
2,53,22,1.7,-0.753996576,70.10827065,327.2458261,11.57019677,16.83400675,10,30,6.426216349,161.1221167,1.479,20,4,8.75
2,54,22,1.7,-0.47360714,70.10827065,327.2458261,11.57019677,50,9.928661918,30,6.426216349,161.1221167,1.479,20,4,8.75
2,55,22,1.7,1.01681886,70.10827065,327.2458261,20,16.83400675,9.928661918,30,6.426216349,161.1221167,1.479,20,4,8.75
2,56,22,1.7,-0.724480948,70.10827065,360,11.57019677,16.83400675,9.928661918,30,6.426216349,161.1221167,1.479,20,4,8.75
2,57,22,1.7,0.976026683,120,327.2458261,11.57019677,16.83400675,9.928661918,30,6.426216349,161.1221167,1.479,20,4,8.75
3,58,22,1.82,-0.697596167,10,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,59,22,1.82,-0.570148466,12.03225,257.06,13.703375,15.315125,9.991675,139.92625,78.81075,169.8495,1.479,20,4,8.75
3,60,22,1.82,-0.61126933,14.36425,288.732,13.250375,16.845125,9.930475,30.17425,84.25125,174.2235,1.479,20,4,8.75
3,61,22,1.82,-0.61860372,15.68425,272.748,11.962625,16.014875,9.099775,71.22075,83.09475,194.7375,1.479,20,4,8.75
3,62,22,1.82,-0.746534774,18.42325,289.044,10.269125,27.156875,9.277525,195.44825,76.65975,205.9275,1.479,20,4,8.75
3,63,22,1.82,-0.565787071,19.98525,340.172,5.010875,42.117125,9.423775,78.04625,85.38525,172.4925,1.479,20,4,8.75
3,64,22,1.82,-0.623787625,23.73075,265.836,13.307375,14.907875,8.797375,160.32625,85.28175,194.5725,1.479,20,4,8.75
3,65,22,1.82,-0.763113889,59.70075,200,10.406375,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,66,22,1.82,-0.606360694,59.70075,335.468,5,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,67,22,1.82,-0.336105283,59.70075,335.468,10.406375,5,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,68,22,1.82,0.837519438,59.70075,335.468,10.406375,26.450375,1,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,69,22,1.82,-0.826294479,59.70075,335.468,10.406375,26.450375,9.400375,30,24.20325,188.1075,1.479,20,4,8.75
3,70,22,1.82,-0.770571494,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,0,188.1075,1.479,20,4,8.75
3,71,22,1.82,-0.786431762,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,150,1.479,20,4,8.75
3,72,22,1.82,-0.833578868,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,24.20325,210,1.479,20,4,8.75
3,73,22,1.82,-0.782424386,59.70075,335.468,10.406375,26.450375,9.400375,140.89525,90,188.1075,1.479,20,4,8.75
3,74,22,1.82,-0.814247809,59.70075,335.468,10.406375,26.450375,9.400375,200,24.20325,188.1075,1.479,20,4,8.75
3,75,22,1.82,-0.817892825,59.70075,335.468,10.406375,26.450375,10,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,76,22,1.82,-0.566424071,59.70075,335.468,10.406375,50,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
3,77,22,1.82,-0.416017273,59.70075,335.468,20,26.450375,9.400375,140.89525,24.20325,188.1075,1.479,20,4,8.75
