annual_carbon_offset,NPV_over_CAPEX,clearance,sp,p_rated,Nwt,wind_MW_per_km2,solar_MW,surface_tilt,surface_azimuth,b_P,b_E_h
-352786.777316498,-3.4083881601273514,53.80431684377011,233.57499983601954,7.792895088205043,47.496757549277014,7.655957155443588,113.37799746498641,20.46731651759909,165.26138890622357,30.44524885829761,19.638998520092347
-366969.9947105016,-3.203399748104494,38.89842472256802,299.8451603023747,11.880261003341115,37.05381693126881,3.099741638920266,159.0270627167905,41.284021643184815,181.70167549725923,58.939130483067416,11.347260146898396
-371321.3949823763,-3.155005315966911,29.520349480789864,238.66662409005255,8.892891094605014,41.956854808784655,4.962845411616105,138.41408897398367,42.05511800059426,184.98156932875145,98.41043655266057,17.510451615550487
-342269.40444066154,-3.6019472305032982,48.73417614709569,280.5660937376243,8.036387695392026,49.49489160693309,5.593493176492,95.58148340206309,50.059396462902825,160.91858931649307,45.49506469444417,9.687921025640279
-308523.03391845274,-4.096426457483569,47.89606753004785,307.1788496196315,7.276296384986953,47.02161737144959,5.6597076795616,74.312263227024,51.66503763186661,150.0,51.75986174765694,4.0
-339270.59573820035,-3.645701689904881,55.63475575882512,284.20510388006187,8.491077782267057,41.43760235872855,3.862262286101897,100.47753351826921,22.895374008043127,177.51707040597594,69.34414075261532,11.082656460399882
-348524.2993805853,-3.4582496255385693,52.150389672478894,284.2297306103805,9.384527890482628,44.02374499364999,5.18357084742824,97.43044895284584,52.87185737478545,165.82680710870892,54.72997436609979,8.310650974929743
-435243.9893433587,-1.7353768973277723,39.53960448849694,248.30940824702867,14.06685418395023,43.6844885605998,3.465742427741967,76.06334060732037,31.542169697561434,193.38476306693644,183.52871140821856,27.492912241819482
-420489.50079661544,-2.1076192938365663,34.032058090474514,245.87560568835917,13.140909742290331,41.535515873579754,4.200743862666611,132.20613059608203,35.82837602228783,187.54491386568407,133.24872282422015,26.011849489769855
-439792.1985247523,-1.659505960060476,54.981026288702594,249.47470872490376,14.028353369508805,46.83242148397679,3.859563108837636,104.3540287705814,18.80616683007264,202.22975281533354,169.34627637026506,26.959247855041117
